"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Property","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Operational Delivery","90","80","21920","22010"
"Leaver CS","2022","Property","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Property","150","130","32600","27000"
"Leaver CS","2022","Property","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Operational Delivery","50","40","[c]","[c]"
"Leaver CS","2022","Property","Male","Other","30","30","[c]","[c]"
"Leaver CS","2022","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Property","260","240","36760","33350"
"Leaver CS","2022","Property","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","Security","120","110","29850","26600"
"Leaver CS","2022","Security","Female","Unknown","30","20","[c]","[c]"
"Leaver CS","2022","Security","Male","Intelligence Analysis","50","40","[c]","[c]"
"Leaver CS","2022","Security","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","Security","540","520","31890","28500"
"Leaver CS","2022","Security","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Finance","80","70","32460","29200"
"Leaver CS","2022","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Medicine","210","180","38130","34170"
"Leaver CS","2022","Unknown","Female","Operational Delivery","750","600","27130","25040"
"Leaver CS","2022","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Other","680","620","25890","21580"
"Leaver CS","2022","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Policy","150","130","42870","37410"
"Leaver CS","2022","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","3840","3080","29570","27570"
"Leaver CS","2022","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Digital, Data and Technology","90","90","51600","45600"
"Leaver CS","2022","Unknown","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Finance","100","100","38850","33300"
"Leaver CS","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Intelligence Analysis","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Medicine","70","60","53270","39540"
"Leaver CS","2022","Unknown","Male","Operational Delivery","750","630","29220","26120"
"Leaver CS","2022","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Other","960","930","29660","26670"
"Leaver CS","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Policy","120","120","51800","45200"
"Leaver CS","2022","Unknown","Male","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Science and Engineering","180","170","34690","28220"
"Leaver CS","2022","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","3080","2690","32840","27570"
"Leaver CS","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Economics","40","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Statistics","50","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Economics","50","50","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Statistics","50","50","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Communications","80","80","42560","39170"
"Leaver Dept.","2021","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Communications","70","60","46640","41740"
"Leaver Dept.","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Digital, Data and Technology","70","60","45730","41950"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Digital, Data and Technology","80","80","45260","41720"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Male","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Finance","90","80","47680","48860"
"Leaver Dept.","2021","Finance","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Finance","80","80","45610","43250"
"Leaver Dept.","2021","Finance","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Human Resources","180","170","39740","35080"
"Leaver Dept.","2021","Human Resources","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Unknown","110","110","38000","32910"
"Leaver Dept.","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Human Resources","100","100","38300","34400"
"Leaver Dept.","2021","Human Resources","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Unknown","60","60","37700","32910"
"Leaver Dept.","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Legal","70","70","54680","52830"
"Leaver Dept.","2021","Legal","Female","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","International Trade","60","60","44590","39540"
"Leaver Dept.","2021","No function","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Operational Delivery","750","710","27970","22570"
"Leaver Dept.","2021","No function","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Policy","700","680","43170","38750"
"Leaver Dept.","2021","No function","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Female","Unknown","610","600","38510","32000"
"Leaver Dept.","2021","No function","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","International Trade","80","80","46630","43170"
"Leaver Dept.","2021","No function","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Operational Delivery","560","550","29070","23600"
"Leaver Dept.","2021","No function","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Policy","590","580","43190","38700"
"Leaver Dept.","2021","No function","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Male","Unknown","450","440","39390","32000"
"Leaver Dept.","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Project Delivery","140","140","42620","38160"
"Leaver Dept.","2021","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Project Delivery","140","140","41160","37900"
"Leaver Dept.","2021","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
