"Status","Year","Region_ITL1","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Operational Delivery","220","190","23470","21840"
"Leaver CS","2022","Unknown","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Operational Delivery","90","50","21880","21590"
"Leaver CS","2022","Unknown","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Operational Delivery","180","160","21740","21590"
"Leaver CS","2022","Unknown","Unknown","Other","240","240","35950","33270"
"Leaver CS","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","200","160","47620","34550"
"Leaver CS","2022","Wales","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Digital, Data and Technology","70","60","38420","33780"
"Leaver CS","2022","Wales","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Operational Delivery","750","660","26850","23830"
"Leaver CS","2022","Wales","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Other","60","50","28130","22330"
"Leaver CS","2022","Wales","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Policy","60","50","46870","37410"
"Leaver CS","2022","Wales","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Wales","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Operational Delivery","60","50","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Operational Delivery","60","50","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Digital, Data and Technology","50","50","34640","33500"
"Leaver CS","2022","Wales","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Operational Delivery","280","240","24360","21260"
"Leaver CS","2022","Wales","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","Unknown","360","310","25080","21280"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Operational Delivery","1030","920","28190","27570"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Other","110","100","25220","21380"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Operational Delivery","90","90","25950","26520"
"Leaver CS","2022","West Midlands (England)","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Operational Delivery","120","100","28500","26760"
"Leaver CS","2022","West Midlands (England)","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Operational Delivery","440","390","26660","21430"
"Leaver CS","2022","West Midlands (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","Unknown","370","330","28170","27570"
"Leaver CS","2022","West Midlands (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Digital, Data and Technology","70","60","43560","39180"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Knowledge and Information Management","110","100","30900","27710"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Medicine","30","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Operational Delivery","1140","1010","26920","27370"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Other","120","110","25070","21260"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Policy","60","50","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Property","30","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Unknown","180","160","26770","21260"
"Leaver CS","2022","Yorkshire and The Humber","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Operational Delivery","110","100","25380","25740"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","LGBO","Other","[c]","[c]","[c]","[c]"
