"Status","Year","Sex","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Operational Delivery","170","130","27860","27130"
"Leaver CS","2022","Female","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Operational Delivery","150","130","23790","22040"
"Leaver CS","2022","Female","HM Revenue and Customs","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Property","50","40","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","Unknown","2530","2030","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Female","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Operational Delivery","700","560","26720","25040"
"Leaver CS","2022","Female","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Other","80","70","33450","28650"
"Leaver CS","2022","Female","Home Office","Policy","70","70","45300","39020"
"Leaver CS","2022","Female","Home Office","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Home Office","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Commercial","80","70","36220","33300"
"Leaver CS","2022","Female","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Digital, Data and Technology","70","60","31860","29200"
"Leaver CS","2022","Female","Ministry of Defence","Finance","140","120","33410","29200"
"Leaver CS","2022","Female","Ministry of Defence","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Human Resources","110","100","30930","26670"
"Leaver CS","2022","Female","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Medicine","200","170","37180","34170"
"Leaver CS","2022","Female","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Other","690","630","25170","21380"
"Leaver CS","2022","Female","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Project Delivery","140","130","37180","37370"
"Leaver CS","2022","Female","Ministry of Defence","Property","70","70","28420","26350"
"Leaver CS","2022","Female","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Science and Engineering","90","90","31190","29200"
"Leaver CS","2022","Female","Ministry of Defence","Security","90","90","29210","24610"
"Leaver CS","2022","Female","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Operational Delivery","4690","4230","25950","21170"
"Leaver CS","2022","Female","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Psychology","80","70","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ministry of Justice","Unknown","440","380","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Operational Delivery","90","90","39860","34580"
"Leaver CS","2022","Female","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","80","80","62030","51360"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Other","60","60","34860","30950"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Wales","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Wales","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Operational Delivery","210","180","26630","23780"
"Leaver CS","2022","Female","Scottish Government","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","Unknown","350","320","38030","31540"
"Leaver CS","2022","Female","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","The National Archives","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Operational Delivery","160","120","23990","19860"
"Leaver CS","2022","Female","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Supreme Court","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Operational Delivery","40","30","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Policy","40","30","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Legal","150","140","57280","55000"
"Leaver CS","2022","Male","Attorney General's Departments","Operational Delivery","50","50","26900","23380"
"Leaver CS","2022","Male","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Cabinet Office","Unknown","380","370","52980","54700"
"Leaver CS","2022","Male","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
