"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","AA/AO","60","50","21830","22200"
"Leaver CS","2022","Unknown","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","G6/G7","80","70","56460","55000"
"Leaver CS","2022","Unknown","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","No function","AA/AO","2450","2290","21430","21260"
"Leaver CS","2022","Unknown","No function","EO","1010","910","28260","27570"
"Leaver CS","2022","Unknown","No function","G6/G7","440","360","58580","54650"
"Leaver CS","2022","Unknown","No function","SCS","120","90","100070","93000"
"Leaver CS","2022","Unknown","No function","SEO/HEO","920","780","36820","36360"
"Leaver CS","2022","Unknown","No function","Unknown","580","510","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","EO","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","G6/G7","70","60","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","SEO/HEO","100","100","36430","36840"
"Leaver CS","2022","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","AA/AO","100","100","21030","21100"
"Leaver CS","2022","Unknown","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","AA/AO","160","160","29100","25190"
"Leaver CS","2022","Unknown","Security","EO","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","AA/AO","1670","1480","22000","21260"
"Leaver CS","2022","Unknown","Unknown","EO","850","780","27540","27570"
"Leaver CS","2022","Unknown","Unknown","G6/G7","190","170","62840","60740"
"Leaver CS","2022","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","560","490","38690","38050"
"Leaver CS","2022","Unknown","Unknown","Unknown","340","260","36030","33270"
"Leaver Dept.","2021","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","AA/AO","60","50","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","EO","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","G6/G7","60","60","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","SEO/HEO","130","130","33990","32620"
"Leaver Dept.","2021","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","AA/AO","90","90","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","EO","140","130","27410","27570"
"Leaver Dept.","2021","Declared disabled","Unknown","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","SEO/HEO","120","120","36580","36280"
"Leaver Dept.","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Analysis","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Analysis","SEO/HEO","90","90","36070","34400"
"Leaver Dept.","2021","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Communications","SEO/HEO","60","60","37650","35590"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","G6/G7","50","50","60120","58800"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","SEO/HEO","60","50","36060","35590"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","SEO/HEO","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","EO","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","G6/G7","60","60","57430","57750"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","SEO/HEO","140","140","34880","33120"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","G6/G7","60","60","59530","59550"
"Leaver Dept.","2021","Declared non-disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","No function","AA/AO","400","380","20570","19930"
"Leaver Dept.","2021","Declared non-disabled","No function","EO","270","270","25590","26390"
"Leaver Dept.","2021","Declared non-disabled","No function","G6/G7","480","460","56080","54300"
"Leaver Dept.","2021","Declared non-disabled","No function","SCS","90","90","85830","75920"
"Leaver Dept.","2021","Declared non-disabled","No function","SEO/HEO","730","720","34410","33100"
"Leaver Dept.","2021","Declared non-disabled","No function","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","EO","50","50","23800","24020"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","G6/G7","80","80","57300","54730"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","SEO/HEO","180","180","34510","33540"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Property","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","AA/AO","760","710","21360","21010"
"Leaver Dept.","2021","Declared non-disabled","Unknown","EO","1040","970","27400","27570"
"Leaver Dept.","2021","Declared non-disabled","Unknown","G6/G7","440","400","58200","57010"
"Leaver Dept.","2021","Declared non-disabled","Unknown","SCS","70","60","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","SEO/HEO","1050","950","36030","35200"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","AA/AO","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","SEO/HEO","80","80","35370","33570"
"Leaver Dept.","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","AA/AO","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","EO","90","90","28070","27570"
"Leaver Dept.","2021","Undeclared","Unknown","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","SEO/HEO","100","100","36530","35060"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","SEO/HEO","50","50","37110","38440"
"Leaver Dept.","2021","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","AA/AO","180","170","20790","20430"
"Leaver Dept.","2021","Unknown","No function","EO","160","160","27140","27000"
"Leaver Dept.","2021","Unknown","No function","G6/G7","270","260","55550","53910"
"Leaver Dept.","2021","Unknown","No function","SCS","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","SEO/HEO","820","810","33540","32120"
"Leaver Dept.","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","SEO/HEO","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","AA/AO","350","330","[c]","[c]"
