"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Driver and Vehicle Standards Agency","No function","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Unknown","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Declared non-disabled","40","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Property","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Legal","Declared non-disabled","70","70","54580","51250"
"Leaver CS","2021","Government Legal Department","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","No function","Declared non-disabled","90","80","45110","44790"
"Leaver CS","2021","Health and Safety Executive","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Legal","Declared non-disabled","60","40","44130","44960"
"Leaver CS","2021","HM Courts and Tribunals Service","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Declared disabled","160","130","20850","19930"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Declared non-disabled","720","610","21450","20100"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Undeclared","70","60","21080","20100"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Unknown","290","280","20570","19930"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","No function","Declared non-disabled","110","90","29720","27130"
"Leaver CS","2021","HM Land Registry","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","No function","Unknown","60","50","23280","22350"
"Leaver CS","2021","HM Land Registry","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Declared disabled","420","380","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Declared non-disabled","2260","2070","34930","31650"
"Leaver CS","2021","HM Prison and Probation Service","No function","Undeclared","520","440","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Unknown","910","870","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Declared disabled","620","500","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Declared non-disabled","2700","2240","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Undeclared","340","290","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","1780","1530","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Declared disabled","150","120","29820","26410"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Declared non-disabled","970","840","30530","25630"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Undeclared","70","60","32330","28680"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Unknown","140","140","27020","24880"
"Leaver CS","2021","Insolvency Service","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","No function","Unknown","[c]","[c]","[c]","[c]"
