"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Analysis","70","70","26170","22610"
"Leaver CS","2022","Unknown","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Communications","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Digital, Data & Technology","110","100","31960","30710"
"Leaver CS","2022","Unknown","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Grants Management","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","No function","1830","1780","24930","22600"
"Leaver CS","2022","Unknown","20-29","Project Delivery","60","60","28530","27540"
"Leaver CS","2022","Unknown","20-29","Property","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Security","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Unknown","1610","1470","25860","24880"
"Leaver CS","2022","Unknown","30-39","Analysis","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Commercial","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Communications","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Digital, Data & Technology","100","90","41050","37940"
"Leaver CS","2022","Unknown","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","No function","1090","1020","31910","27570"
"Leaver CS","2022","Unknown","30-39","Project Delivery","60","60","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Unknown","1050","950","30940","27570"
"Leaver CS","2022","Unknown","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Commercial","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Digital, Data & Technology","60","60","45860","42450"
"Leaver CS","2022","Unknown","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Legal","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","No function","730","670","36830","27570"
"Leaver CS","2022","Unknown","40-49","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Unknown","810","720","32440","27570"
"Leaver CS","2022","Unknown","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Legal","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","No function","1000","900","35230","27570"
"Leaver CS","2022","Unknown","50-59","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Property","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Unknown","1300","1120","32930","27570"
"Leaver CS","2022","Unknown","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Legal","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","No function","660","520","31830","27570"
"Leaver CS","2022","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Unknown","1160","890","40150","35130"
"Leaver CS","2022","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","No function","610","420","29870","26900"
"Leaver CS","2022","Unknown","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Unknown","750","520","36700","31060"
"Leaver CS","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Analysis","100","90","35460","33570"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Human Resources","110","110","29210","28560"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","No function","800","790","31940","32000"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Project Delivery","110","110","31230","29690"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","20-29","Unknown","660","640","30400","27760"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Analysis","60","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Finance","40","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Human Resources","90","90","39060","34400"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","No function","730","700","40800","37210"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Project Delivery","100","100","39620","38480"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","30-39","Unknown","710","670","35050","30200"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Human Resources","70","70","44980","42520"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","No function","350","330","47890","42060"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Project Delivery","80","80","47420","40810"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","40-49","Unknown","540","510","38120","31990"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","No function","210","200","41620","34360"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Project Delivery","70","70","49860","43220"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","50-59","Unknown","330","320","37070","31860"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","No function","120","120","34140","32000"
"Leaver Dept.","2021","LGBO","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","20-29","Unknown","80","80","30090","27570"
"Leaver Dept.","2021","LGBO","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","No function","80","80","40080","32620"
"Leaver Dept.","2021","LGBO","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","30-39","Unknown","50","50","36090","30470"
"Leaver Dept.","2021","LGBO","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","No function","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","40-49","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","No function","100","100","33890","32160"
"Leaver Dept.","2021","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","20-29","Unknown","50","50","31950","29570"
"Leaver Dept.","2021","Undeclared","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","No function","80","80","42080","40600"
"Leaver Dept.","2021","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","30-39","Unknown","80","80","36180","33090"
"Leaver Dept.","2021","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","No function","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","40-49","Unknown","60","60","40830","34950"
"Leaver Dept.","2021","Undeclared","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","No function","[c]","[c]","[c]","[c]"
