"Status","Year","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Intelligence Analysis","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Unknown","110","110","41390","33900"
"New entrant CS","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","Declared non-disabled","70","70","35400","31800"
"New entrant CS","2021","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","Unknown","60","60","31020","31800"
"New entrant CS","2021","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Declared non-disabled","120","120","31820","30200"
"New entrant CS","2021","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Legal","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2021","Legal","Declared non-disabled","360","350","41610","43920"
"New entrant CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Unknown","530","510","42560","48080"
"New entrant CS","2021","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","Declared non-disabled","240","200","50750","37890"
"New entrant CS","2021","Medicine","Undeclared","30","20","[c]","[c]"
"New entrant CS","2021","Medicine","Unknown","120","100","48640","37890"
"New entrant CS","2021","Operational Delivery","Declared disabled","800","770","24940","22850"
"New entrant CS","2021","Operational Delivery","Declared non-disabled","7070","6770","25970","22920"
"New entrant CS","2021","Operational Delivery","Undeclared","430","400","29030","24920"
"New entrant CS","2021","Operational Delivery","Unknown","7720","7490","25070","22680"
"New entrant CS","2021","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Declared non-disabled","70","70","32820","32540"
"New entrant CS","2021","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Other","Declared disabled","100","100","24020","20920"
"New entrant CS","2021","Other","Declared non-disabled","1090","1070","27960","23970"
"New entrant CS","2021","Other","Undeclared","70","70","29540","23970"
"New entrant CS","2021","Other","Unknown","570","550","29780","26950"
"New entrant CS","2021","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Declared disabled","230","220","34790","32790"
"New entrant CS","2021","Policy","Declared non-disabled","1410","1400","36650","33570"
"New entrant CS","2021","Policy","Undeclared","190","190","36870","33570"
"New entrant CS","2021","Policy","Unknown","1500","1470","38590","33570"
"New entrant CS","2021","Project Delivery","Declared disabled","70","70","35680","33000"
"New entrant CS","2021","Project Delivery","Declared non-disabled","710","700","37990","34710"
"New entrant CS","2021","Project Delivery","Undeclared","50","50","37650","34360"
"New entrant CS","2021","Project Delivery","Unknown","350","350","37470","35050"
"New entrant CS","2021","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Declared non-disabled","290","280","33210","30000"
"New entrant CS","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","170","170","35400","30000"
"New entrant CS","2021","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Declared non-disabled","60","60","25340","24620"
"New entrant CS","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Declared disabled","100","90","29460","28200"
"New entrant CS","2021","Science and Engineering","Declared non-disabled","950","890","32090","29710"
"New entrant CS","2021","Science and Engineering","Undeclared","80","70","33940","31370"
"New entrant CS","2021","Science and Engineering","Unknown","180","180","28910","25000"
"New entrant CS","2021","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Declared non-disabled","400","390","25960","23540"
"New entrant CS","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","310","310","29030","25540"
"New entrant CS","2021","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Declared non-disabled","100","100","33500","32540"
"New entrant CS","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Unknown","100","90","33590","32540"
"New entrant CS","2021","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Declared non-disabled","180","170","34270","31810"
"New entrant CS","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Unknown","150","140","32870","31810"
"New entrant CS","2021","Tax","Declared disabled","90","80","23490","20140"
"New entrant CS","2021","Tax","Declared non-disabled","980","960","23010","20140"
"New entrant CS","2021","Tax","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Tax","Unknown","2140","2090","22290","20140"
"New entrant CS","2021","Unknown","Declared disabled","2230","2170","27160","27570"
"New entrant CS","2021","Unknown","Declared non-disabled","14020","13780","27460","27570"
"New entrant CS","2021","Unknown","Undeclared","720","710","28020","27570"
"New entrant CS","2021","Unknown","Unknown","4480","4380","32950","28000"
"New entrant CS","2021","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","370","370","31430","29920"
"New entrant CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","380","320","34390","31500"
"New entrant CS","2022","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","260","260","37080","33100"
"New entrant CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","300","260","35010","32790"
"New entrant CS","2022","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Declared disabled","80","80","26340","25110"
"New entrant CS","2022","Counter Fraud","Declared non-disabled","530","520","26230","27570"
"New entrant CS","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","70","70","26350","27570"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","170","170","36890","33220"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","1430","1420","37810","34270"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","80","80","36080","33080"
"New entrant CS","2022","Digital, Data and Technology","Unknown","1110","1060","39130","35900"
"New entrant CS","2022","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared non-disabled","230","230","34830","31750"
"New entrant CS","2022","Economics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","130","120","32410","31210"
"New entrant CS","2022","Finance","Declared disabled","60","60","35400","32790"
"New entrant CS","2022","Finance","Declared non-disabled","570","560","35020","33000"
"New entrant CS","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","550","490","35090","32190"
"New entrant CS","2022","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","90","90","32720","30130"
"New entrant CS","2022","Human Resources","Declared non-disabled","600","580","33280","30160"
"New entrant CS","2022","Human Resources","Undeclared","30","30","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","420","390","34230","28900"
"New entrant CS","2022","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Declared non-disabled","150","150","59240","51360"
"New entrant CS","2022","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","100","100","30340","28700"
"New entrant CS","2022","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","100","100","28950","28680"
"New entrant CS","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared non-disabled","50","40","[c]","[c]"
"New entrant CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Declared non-disabled","90","90","36890","31800"
"New entrant CS","2022","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Unknown","100","100","37680","31800"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","150","150","31300","28590"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Legal","Declared disabled","70","70","42090","41750"
"New entrant CS","2022","Legal","Declared non-disabled","640","620","43770","43920"
"New entrant CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","210","210","37750","34260"
"New entrant CS","2022","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared non-disabled","170","140","51770","39470"
"New entrant CS","2022","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","160","130","50370","39030"
"New entrant CS","2022","Operational Delivery","Declared disabled","3050","2920","26860","24880"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","19610","18920","26050","23720"
"New entrant CS","2022","Operational Delivery","Undeclared","970","920","27010","25120"
"New entrant CS","2022","Operational Delivery","Unknown","13200","12470","26410","24620"
"New entrant CS","2022","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared non-disabled","90","90","32510","31000"
"New entrant CS","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","210","200","26660","21260"
"New entrant CS","2022","Other","Declared non-disabled","1510","1480","27940","24250"
"New entrant CS","2022","Other","Undeclared","70","60","25790","21260"
"New entrant CS","2022","Other","Unknown","850","830","25940","21520"
"New entrant CS","2022","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Declared non-disabled","50","50","43690","41980"
"New entrant CS","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Declared disabled","330","320","35350","32670"
"New entrant CS","2022","Policy","Declared non-disabled","2130","2110","37080","34020"
"New entrant CS","2022","Policy","Undeclared","190","180","34920","33570"
"New entrant CS","2022","Policy","Unknown","1260","1200","36050","33000"
"New entrant CS","2022","Project Delivery","Declared disabled","90","80","34660","33120"
"New entrant CS","2022","Project Delivery","Declared non-disabled","710","690","36790","34000"
"New entrant CS","2022","Project Delivery","Undeclared","40","40","[c]","[c]"
"New entrant CS","2022","Project Delivery","Unknown","400","390","38650","35050"
"New entrant CS","2022","Property","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2022","Property","Declared non-disabled","370","370","35400","33000"
"New entrant CS","2022","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","Unknown","350","340","33960","29000"
"New entrant CS","2022","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Declared non-disabled","130","130","26950","27700"
"New entrant CS","2022","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Declared disabled","120","120","30760","28590"
"New entrant CS","2022","Science and Engineering","Declared non-disabled","1240","1200","32060","29230"
"New entrant CS","2022","Science and Engineering","Undeclared","40","40","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Unknown","290","280","32510","30350"
"New entrant CS","2022","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Declared non-disabled","270","270","29340","25000"
"New entrant CS","2022","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Unknown","350","350","27500","25000"
"New entrant CS","2022","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Declared non-disabled","190","180","34740","30710"
"New entrant CS","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Unknown","80","80","34310","33650"
"New entrant CS","2022","Statistics","Declared disabled","50","40","[c]","[c]"
"New entrant CS","2022","Statistics","Declared non-disabled","200","190","33130","30710"
"New entrant CS","2022","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Unknown","130","120","29760","28310"
"New entrant CS","2022","Tax","Declared disabled","150","140","27740","26590"
"New entrant CS","2022","Tax","Declared non-disabled","1510","1490","27610","26590"
"New entrant CS","2022","Tax","Undeclared","60","60","27480","26590"
"New entrant CS","2022","Tax","Unknown","820","800","26880","26590"
"New entrant CS","2022","Unknown","Declared disabled","490","480","30360","27230"
"New entrant CS","2022","Unknown","Declared non-disabled","3450","3390","32370","27570"
"New entrant CS","2022","Unknown","Undeclared","180","170","31190","29290"
"New entrant CS","2022","Unknown","Unknown","3960","3810","33110","28000"
"New entrant CS","2022","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2022","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
