"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Department for International Trade","Unknown","International Trade","60","60","44800","41660"
"Leaver Dept.","2021","Department for International Trade","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Operational Delivery","70","70","24870","21590"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Heterosexual / straight","Unknown","120","120","47110","42460"
"Leaver Dept.","2021","Department for Transport","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport","Unknown","Unknown","50","50","40850","42460"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Heterosexual / straight","Unknown","860","820","30300","27570"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","LGBO","Unknown","70","70","29820","27570"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Undeclared","Unknown","80","80","29180","27570"
"Leaver Dept.","2021","Department for Work and Pensions","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions","Unknown","Unknown","350","330","29840","27570"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","Unknown","160","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","250","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","Unknown","1620","1570","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Policy","70","70","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
