"Status","Year","Organisation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Other","Ministry of Defence","50","50","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Policy","Ministry of Defence","50","50","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Project Delivery","Ministry of Defence","70","70","46990","41480"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","Ministry of Housing, Communities and Local Government","210","210","41330","36340"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Finance","Ministry of Justice","60","60","48800","48560"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Human Resources","Ministry of Justice","60","60","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Ministry of Justice","90","90","36120","30850"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Policy","Ministry of Justice","90","90","42550","37540"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Operational Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Infrastructure Commission","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Infrastructure Commission","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Records of Scotland","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Budget Responsibility","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Operational Delivery","Ministry of Justice","80","80","22010","21170"
"Leaver Dept.","2021","Office of the Public Guardian","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Planning Inspectors","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Queen Elizabeth II Centre","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Queen Elizabeth II Centre","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","Operational Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Revenue Scotland","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Royal Fleet Auxiliary","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Rural Payments Agency","Operational Delivery","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"Leaver Dept.","2021","Rural Payments Agency","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Courts and Tribunals Service","Operational Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Forestry","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government (excl. agencies)","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Security Scotland","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Standards and Testing Agency","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Teaching Regulation Agency","Policy","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Policy","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","Unknown","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Operational Delivery","United Kingdom Statistics Authority","100","90","32030","29540"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","Statistics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Vehicle Certification Agency","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Vehicle Certification Agency","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Economics","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Policy","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Operational Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Policy","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Tax","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wilton Park","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wilton Park","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Animal and Plant Health Agency","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
