"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Property","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Operational Delivery","HM Revenue and Customs","130","120","21910","22010"
"Leaver CS","2022","Property","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","HM Revenue and Customs","120","100","35840","30600"
"Leaver CS","2022","Property","Property","Ministry of Defence","190","180","31320","33000"
"Leaver CS","2022","Property","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Intelligence Analysis","Ministry of Defence","60","60","34880","33300"
"Leaver CS","2022","Security","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Ministry of Defence","600","580","31280","26750"
"Leaver CS","2022","Security","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Cabinet Office","70","70","32950","32000"
"Leaver CS","2022","Unknown","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Home Office","120","120","51880","45600"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Ministry of Defence","160","150","35490","33300"
"Leaver CS","2022","Unknown","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Home Office","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","Home Office","70","60","28140","27370"
"Leaver CS","2022","Unknown","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","Ministry of Defence","270","230","41480","37280"
"Leaver CS","2022","Unknown","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","Home Office","1400","1140","27680","25310"
"Leaver CS","2022","Unknown","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","Welsh Government","80","70","37320","28850"
"Leaver CS","2022","Unknown","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Home Office","140","130","32490","26160"
"Leaver CS","2022","Unknown","Other","Ministry of Defence","1440","1360","27390","22080"
"Leaver CS","2022","Unknown","Other","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectors","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Home Office","120","120","48250","41970"
"Leaver CS","2022","Unknown","Policy","Ministry of Defence","60","50","42420","40580"
"Leaver CS","2022","Unknown","Policy","Welsh Government","60","50","48390","38160"
"Leaver CS","2022","Unknown","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Home Office","70","60","47570","41950"
"Leaver CS","2022","Unknown","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Ministry of Defence","190","180","32360","26680"
"Leaver CS","2022","Unknown","Science and Engineering","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Work and Pensions","1280","1200","26180","25880"
"Leaver CS","2022","Unknown","Unknown","Department of Health and Social Care","70","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office","200","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs","4530","3830","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Government","780","710","38670","31950"
"Leaver CS","2022","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Policy","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Ministry of Defence","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2021","Communications","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Cabinet Office","50","50","37420","35020"
"Leaver Dept.","2021","Counter Fraud","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
