"Status","Year","Organisation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Vehicle Certification Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Vehicle Certification Agency","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Vehicle Certification Agency","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Vehicle Certification Agency","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Vehicle Certification Agency","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Economics","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Policy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Operational Delivery","Unknown","80","70","37320","28850"
"Leaver CS","2022","Welsh Government (excl. agencies)","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Policy","Unknown","60","50","48390","38160"
"Leaver CS","2022","Welsh Government (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Revenue Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Revenue Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Revenue Authority","Policy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Revenue Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wilton Park","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wilton Park","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wilton Park","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Animal and Plant Health Agency","Operational Delivery","No function","50","40","[c]","[c]"
"Leaver Dept.","2021","Animal and Plant Health Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Animal and Plant Health Agency","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Other","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Policy","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Communications","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Finance","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Other","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Other","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Policy","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Communications","50","50","37420","35020"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","50","50","50910","53600"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","170","170","38050","32910"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","No function","960","950","38840","32000"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Security","40","40","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Policy","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Economics","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Policy","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Office and Procurator Fiscal Service","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Operational Delivery","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service Inspectorate","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service Inspectorate","Other","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Commercial","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Commercial","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Commercial","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Other","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Project Delivery","Project Delivery","80","80","35420","31950"
"Leaver Dept.","2021","Defence Equipment and Support","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Science and Engineering","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Security","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Operational Research","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Psychology","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Security","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","No function","50","40","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","No function","290","270","45870","40220"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Economics","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Other","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Policy","No function","150","150","47110","49600"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Social Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Statistics","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Policy","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Policy","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Policy","Unknown","100","100","43660","40510"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","No function","330","320","40900","36030"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Other","Project Delivery","[c]","[c]","[c]","[c]"
