"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Health and Safety Executive","Debt","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","No function","Operational Delivery","90","80","44190","44320"
"Leaver CS","2021","Health and Safety Executive","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Legal","Legal","90","70","41580","43460"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Operational Delivery","1240","1070","21000","19930"
"Leaver CS","2021","HM Courts and Tribunals Service","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","No function","Operational Delivery","200","160","27520","27130"
"Leaver CS","2021","HM Land Registry","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Operational Delivery","3640","3350","32700","29830"
"Leaver CS","2021","HM Prison and Probation Service","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Psychology","100","90","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","No function","Unknown","340","290","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","5430","4570","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","No function","Policy","40","40","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Operational Delivery","530","430","26360","24890"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Other","90","80","30520","28650"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Policy","50","50","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Unknown","520","450","30680","25120"
"Leaver CS","2021","Insolvency Service","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","No function","Operational Delivery","50","50","[c]","[c]"
"Leaver CS","2021","Insolvency Service","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","No function","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","No function","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","No function","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","No function","Operational Delivery","70","70","36290","31700"
"Leaver CS","2021","Maritime and Coastguard Agency","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Unknown","70","60","46360","40020"
"Leaver CS","2021","Met Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Unknown","Unknown","80","80","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Communications","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Finance","Finance","70","70","37150","33690"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Human Resources","80","80","33940","26670"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Project Delivery","Project Delivery","180","170","38280","34610"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Property","Property","130","120","29300","28070"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Security","Security","350","340","29440","26100"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Intelligence Analysis","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Medicine","180","160","42170","35470"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Delivery","50","50","27780","26220"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Other","850","800","26980","25970"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Science and Engineering","100","100","29910","25440"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Unknown","70","70","34190","32430"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Policy","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","No function","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","No function","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","No function","Operational Delivery","150","150","43260","40170"
"Leaver CS","2021","National Crime Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Security","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Analysis","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Commercial","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Communications","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Security","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","No function","Inspector of Education and Training","70","60","67180","75500"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Analysis","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Other","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","No function","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","No function","Operational Delivery","50","40","21300","19930"
"Leaver CS","2021","Office of the Scottish Charity Regulator","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Communications","Communications","[c]","[c]","[c]","[c]"
