"Status","Year","Disability","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Operational Delivery","210","190","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Counter Fraud","60","40","21710","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Digital, Data and Technology","60","60","20560","20920"
"Leaver CS","2022","Declared non-disabled","AA/AO","Economics","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Finance","60","50","21750","21450"
"Leaver CS","2022","Declared non-disabled","AA/AO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Human Resources","70","60","21550","21170"
"Leaver CS","2022","Declared non-disabled","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Medicine","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Operational Delivery","6540","5790","21290","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Other","770","710","20960","21170"
"Leaver CS","2022","Declared non-disabled","AA/AO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Policy","60","50","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Property","50","50","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Science and Engineering","140","130","20360","20010"
"Leaver CS","2022","Declared non-disabled","AA/AO","Security","280","270","28140","25000"
"Leaver CS","2022","Declared non-disabled","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Unknown","1750","1460","22410","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Counter Fraud","90","70","27710","27570"
"Leaver CS","2022","Declared non-disabled","EO","Digital, Data and Technology","120","110","27420","26900"
"Leaver CS","2022","Declared non-disabled","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Finance","80","70","26870","26670"
"Leaver CS","2022","Declared non-disabled","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Human Resources","60","50","26270","26710"
"Leaver CS","2022","Declared non-disabled","EO","Intelligence Analysis","60","50","27840","27370"
"Leaver CS","2022","Declared non-disabled","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Knowledge and Information Management","80","70","25370","25080"
"Leaver CS","2022","Declared non-disabled","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Medicine","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Operational Delivery","4190","3680","27890","27570"
"Leaver CS","2022","Declared non-disabled","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Other","490","450","26920","27570"
"Leaver CS","2022","Declared non-disabled","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Policy","90","80","27770","27850"
"Leaver CS","2022","Declared non-disabled","EO","Project Delivery","60","50","25560","25500"
"Leaver CS","2022","Declared non-disabled","EO","Property","50","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Science and Engineering","140","140","24850","25190"
"Leaver CS","2022","Declared non-disabled","EO","Security","50","50","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Unknown","870","740","28540","27570"
"Leaver CS","2022","Declared non-disabled","EO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Commercial","40","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Communications","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Digital, Data and Technology","210","200","60190","59590"
"Leaver CS","2022","Declared non-disabled","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Finance","80","80","59140","57020"
"Leaver CS","2022","Declared non-disabled","G6/G7","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Human Resources","80","70","57170","55490"
"Leaver CS","2022","Declared non-disabled","G6/G7","Inspector of Education and Training","60","60","76780","75500"
"Leaver CS","2022","Declared non-disabled","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Knowledge and Information Management","50","50","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Legal","220","190","59580","56750"
"Leaver CS","2022","Declared non-disabled","G6/G7","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Operational Delivery","500","470","58720","57200"
"Leaver CS","2022","Declared non-disabled","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Other","90","90","63330","61270"
"Leaver CS","2022","Declared non-disabled","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Policy","310","290","59210","57680"
"Leaver CS","2022","Declared non-disabled","G6/G7","Project Delivery","120","110","58700","57450"
"Leaver CS","2022","Declared non-disabled","G6/G7","Property","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Science and Engineering","190","170","57290","53910"
"Leaver CS","2022","Declared non-disabled","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Unknown","480","420","62800","60690"
"Leaver CS","2022","Declared non-disabled","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Medicine","80","60","100300","101430"
"Leaver CS","2022","Declared non-disabled","SCS","Operational Delivery","60","50","96370","93740"
"Leaver CS","2022","Declared non-disabled","SCS","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Other","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Policy","60","60","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Unknown","120","100","92620","89030"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Commercial","130","120","37130","37000"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Communications","130","120","37630","37520"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Counter Fraud","50","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Digital, Data and Technology","370","350","38910","38450"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Economics","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Finance","170","150","38310","36700"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Human Resources","140","130","37550","36810"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Inspector of Education and Training","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Knowledge and Information Management","130","120","35660","36330"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Legal","60","50","42650","40290"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Medicine","70","60","38980","39030"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Operational Delivery","1370","1230","36830","35910"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Other","310","290","35970","35000"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Policy","360","330","37370","36930"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Project Delivery","270","250","36630","37250"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Property","130","120","38680","38200"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Psychology","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Science and Engineering","540","490","36660","37240"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Security","60","50","41410","37090"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Unknown","870","730","39060","38580"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Operational Delivery","790","710","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Unknown","160","130","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Operational Delivery","650","530","21160","21200"
"Leaver CS","2022","Undeclared","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Other","80","70","21110","21260"
"Leaver CS","2022","Undeclared","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Security","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Unknown","170","140","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Operational Delivery","300","260","27680","27570"
"Leaver CS","2022","Undeclared","EO","Other","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Unknown","90","70","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Operational Delivery","120","110","37790","36840"
"Leaver CS","2022","Undeclared","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Policy","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","80","80","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Operational Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Operational Delivery","2510","2360","21460","21260"
"Leaver CS","2022","Unknown","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Other","180","170","21820","21260"
"Leaver CS","2022","Unknown","AA/AO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Property","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Security","150","150","29420","25540"
"Leaver CS","2022","Unknown","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Unknown","1490","1310","21960","21260"
"Leaver CS","2022","Unknown","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Communications","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Counter Fraud","[c]","[c]","[c]","[c]"
