"Status","Year","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","No function","120","110","24040","21170"
"Leaver Dept.","2021","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Unknown","120","110","26780","27570"
"Leaver Dept.","2021","East of England","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","No function","50","50","[c]","[c]"
"Leaver Dept.","2021","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Unknown","90","90","30360","29290"
"Leaver Dept.","2021","London","Analysis","200","200","42220","37350"
"Leaver Dept.","2021","London","Commercial","60","60","43780","40320"
"Leaver Dept.","2021","London","Communications","170","160","43000","39170"
"Leaver Dept.","2021","London","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Digital, Data & Technology","130","130","49970","51140"
"Leaver Dept.","2021","London","Finance","100","100","50640","50700"
"Leaver Dept.","2021","London","Human Resources","210","210","43070","36190"
"Leaver Dept.","2021","London","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Legal","140","140","46640","50000"
"Leaver Dept.","2021","London","No function","2100","2050","43910","38750"
"Leaver Dept.","2021","London","Project Delivery","160","150","48570","45200"
"Leaver Dept.","2021","London","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Unknown","1990","1630","43380","37640"
"Leaver Dept.","2021","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","No function","50","50","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Unknown","470","450","26770","26890"
"Leaver Dept.","2021","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","No function","140","140","25750","21170"
"Leaver Dept.","2021","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Unknown","810","770","28420","27570"
"Leaver Dept.","2021","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Overseas","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","No function","40","40","[c]","[c]"
"Leaver Dept.","2021","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","No function","80","80","28820","24050"
"Leaver Dept.","2021","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Unknown","440","420","28040","27570"
"Leaver Dept.","2021","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","No function","210","200","28640","26350"
"Leaver Dept.","2021","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Unknown","130","120","30680","27570"
"Leaver Dept.","2021","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","No function","130","130","34230","30800"
"Leaver Dept.","2021","South West (England)","Project Delivery","230","220","35350","32360"
"Leaver Dept.","2021","South West (England)","Property","40","30","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Unknown","280","270","31580","27570"
"Leaver Dept.","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","600","600","34590","32000"
"Leaver Dept.","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Wales","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","Wales","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","No function","180","170","27180","21590"
"Leaver Dept.","2021","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Unknown","250","240","29590","27570"
"Leaver Dept.","2021","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","No function","220","210","24110","20960"
"Leaver Dept.","2021","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Unknown","250","240","28290","27570"
"Leaver Dept.","2021","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","No function","110","110","32060","30170"
"Leaver Dept.","2021","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Unknown","420","370","32720","27570"
"Leaver Dept.","2022","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","No function","440","420","32240","27570"
"Leaver Dept.","2022","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Unknown","90","90","[c]","[c]"
"Leaver Dept.","2022","East of England","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","No function","490","450","38760","30460"
"Leaver Dept.","2022","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Unknown","70","70","28330","25350"
"Leaver Dept.","2022","London","Analysis","340","250","43690","39780"
"Leaver Dept.","2022","London","Commercial","170","110","49950","52610"
"Leaver Dept.","2022","London","Communications","330","250","43990","40050"
"Leaver Dept.","2022","London","Counter Fraud","40","40","[c]","[c]"
"Leaver Dept.","2022","London","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Digital, Data & Technology","310","250","46650","41170"
"Leaver Dept.","2022","London","Finance","230","170","47030","41330"
"Leaver Dept.","2022","London","Human Resources","350","320","41850","34550"
"Leaver Dept.","2022","London","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Legal","170","170","47980","51250"
"Leaver Dept.","2022","London","No function","6700","6060","43530","37360"
"Leaver Dept.","2022","London","Project Delivery","160","150","49040","40500"
"Leaver Dept.","2022","London","Property","50","50","[c]","[c]"
"Leaver Dept.","2022","London","Security","60","60","42460","37510"
"Leaver Dept.","2022","London","Unknown","1370","1030","44420","40070"
"Leaver Dept.","2022","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Human Resources","50","50","28720","27570"
"Leaver Dept.","2022","North East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","No function","490","470","31610","27570"
"Leaver Dept.","2022","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Unknown","290","280","29730","27370"
"Leaver Dept.","2022","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Digital, Data & Technology","80","80","41840","37910"
"Leaver Dept.","2022","North West (England)","Finance","50","50","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Human Resources","70","70","30840","27570"
"Leaver Dept.","2022","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","No function","1130","1080","32340","27570"
"Leaver Dept.","2022","North West (England)","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Unknown","580","560","27540","25040"
"Leaver Dept.","2022","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","No function","620","600","27280","27570"
"Leaver Dept.","2022","Scotland","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Scotland","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Unknown","440","420","32840","27330"
"Leaver Dept.","2022","South East (England)","Analysis","30","30","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","No function","770","710","40480","34290"
"Leaver Dept.","2022","South East (England)","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Unknown","100","90","30700","26670"
"Leaver Dept.","2022","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Commercial","70","70","41960","40470"
"Leaver Dept.","2022","South West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Digital, Data & Technology","60","60","38990","36330"
"Leaver Dept.","2022","South West (England)","Finance","70","70","35260","28590"
"Leaver Dept.","2022","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","No function","1450","1360","37320","31990"
"Leaver Dept.","2022","South West (England)","Project Delivery","290","280","35200","33060"
"Leaver Dept.","2022","South West (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Unknown","70","70","29090","24890"
"Leaver Dept.","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","440","410","37080","32000"
"Leaver Dept.","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2022","Wales","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver Dept.","2022","Wales","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","No function","380","360","31910","27570"
"Leaver Dept.","2022","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Unknown","180","170","32880","27570"
"Leaver Dept.","2022","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","No function","970","910","33340","27570"
"Leaver Dept.","2022","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Unknown","170","160","28570","25310"
"Leaver Dept.","2022","Yorkshire and The Humber","Analysis","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Commercial","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Communications","40","[c]","[c]","[c]"
