"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Operational Delivery","160","150","25490","23050"
"Leaver CS","2022","Undeclared","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Operational Delivery","180","160","28290","26470"
"Leaver CS","2022","Undeclared","30-39","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Operational Delivery","140","130","29440","27570"
"Leaver CS","2022","Undeclared","40-49","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Operational Delivery","280","250","30360","27470"
"Leaver CS","2022","Undeclared","50-59","Other","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Unknown","90","80","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Operational Delivery","210","160","29960","27370"
"Leaver CS","2022","Undeclared","60-64","Other","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Operational Delivery","180","120","24810","21760"
"Leaver CS","2022","Undeclared","65+","Other","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Commercial","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Communications","70","50","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Digital, Data and Technology","140","120","33550","32530"
"Leaver CS","2022","Unknown","20-29","Economics","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Finance","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Human Resources","70","50","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","International Trade","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Operational Delivery","1700","1640","24350","22200"
"Leaver CS","2022","Unknown","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Other","210","210","25340","23580"
"Leaver CS","2022","Unknown","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Policy","240","170","31600","28650"
"Leaver CS","2022","Unknown","20-29","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Property","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Security","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Unknown","1000","920","26850","27230"
"Leaver CS","2022","Unknown","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Commercial","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Communications","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Digital, Data and Technology","130","120","42080","39410"
"Leaver CS","2022","Unknown","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Finance","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Human Resources","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Medicine","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Operational Delivery","990","920","30130","26900"
"Leaver CS","2022","Unknown","30-39","Other","140","130","32200","30370"
"Leaver CS","2022","Unknown","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Policy","130","90","43450","39560"
"Leaver CS","2022","Unknown","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Unknown","640","570","37650","29630"
"Leaver CS","2022","Unknown","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Digital, Data and Technology","90","80","45240","39470"
"Leaver CS","2022","Unknown","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Operational Delivery","620","560","33570","27570"
"Leaver CS","2022","Unknown","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Other","100","90","34320","31470"
"Leaver CS","2022","Unknown","40-49","Policy","70","50","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Unknown","430","370","41880","31060"
"Leaver CS","2022","Unknown","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Knowledge and Information Management","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Operational Delivery","660","610","35010","27570"
"Leaver CS","2022","Unknown","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Other","140","130","35530","32550"
"Leaver CS","2022","Unknown","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Policy","60","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Security","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Unknown","530","460","47320","31540"
"Leaver CS","2022","Unknown","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Operational Delivery","310","250","32150","29060"
"Leaver CS","2022","Unknown","60-64","Other","110","110","38040","34460"
"Leaver CS","2022","Unknown","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Unknown","350","270","44160","39660"
"Leaver CS","2022","Unknown","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Operational Delivery","210","150","28500","24930"
"Leaver CS","2022","Unknown","65+","Other","60","50","36350","30440"
"Leaver CS","2022","Unknown","65+","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Unknown","230","160","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Operational Delivery","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Policy","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Project Delivery","[c]","[c]","[c]","[c]"
