"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Department for Education","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Operational Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Operational Delivery","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Policy","Department for Education (excl. agencies)","150","150","41320","36500"
"Leaver CS","2022","Department for Education","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Operational Delivery","Animal and Plant Health Agency","200","180","27360","24920"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Operational Delivery","Rural Payments Agency","170","150","24750","21300"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Operational Delivery","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Other","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Other","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Policy","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Science and Engineering","Animal and Plant Health Agency","40","30","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","30","30","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Science and Engineering","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Veterinarian","Animal and Plant Health Agency","40","30","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Veterinarian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","International Trade","Department for International Trade","100","100","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Economics","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Internal Audit","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Other","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","70","70","41960","39600"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Statistics","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Statistics","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Digital, Data and Technology","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Internal Audit","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Knowledge and Information Management","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Medicine","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Operational Delivery","Driver and Vehicle Licensing Agency","320","260","21110","21840"
"Leaver CS","2022","Department for Transport","Operational Delivery","Driver and Vehicle Standards Agency","380","340","27260","26780"
"Leaver CS","2022","Department for Transport","Operational Delivery","Maritime and Coastguard Agency","100","90","32580","26780"
"Leaver CS","2022","Department for Transport","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Other","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Policy","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Policy","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Science and Engineering","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Unknown","Department for Transport (excl. agencies)","230","220","45050","42470"
"Leaver CS","2022","Department for Transport","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Commercial","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Counter Fraud","Department for Work and Pensions (excl. agencies)","210","160","26820","27570"
"Leaver CS","2022","Department for Work and Pensions","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","220","210","46350","43500"
"Leaver CS","2022","Department for Work and Pensions","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Finance","Department for Work and Pensions (excl. agencies)","50","40","37580","35310"
"Leaver CS","2022","Department for Work and Pensions","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Human Resources","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Operational Delivery","Department for Work and Pensions (excl. agencies)","6170","5390","26070","27570"
"Leaver CS","2022","Department for Work and Pensions","Operational Delivery","Health and Safety Executive","150","130","39400","33350"
"Leaver CS","2022","Department for Work and Pensions","Other","Department for Work and Pensions (excl. agencies)","520","450","25810","24280"
"Leaver CS","2022","Department for Work and Pensions","Policy","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Policy","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Project Delivery","Department for Work and Pensions (excl. agencies)","60","50","37210","34290"
"Leaver CS","2022","Department for Work and Pensions","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Psychology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Statistics","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Unknown","Department for Work and Pensions (excl. agencies)","1280","1200","26220","26120"
"Leaver CS","2022","Department of Health and Social Care","Commercial","Department of Health and Social Care (excl. agencies)","60","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Commercial","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Communications","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Communications","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Communications","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Corporate Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Digital, Data and Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Finance","Department of Health and Social Care (excl. agencies)","70","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Finance","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Human Resources","UK Health Security Agency","40","30","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Knowledge and Information Management","Public Health England","330","300","34900","30760"
"Leaver CS","2022","Department of Health and Social Care","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Legal","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Medicine","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Medicine","Public Health England","90","80","98320","101430"
"Leaver CS","2022","Department of Health and Social Care","Medicine","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Operational Delivery","Department of Health and Social Care (excl. agencies)","70","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Operational Delivery","Public Health England","710","650","40620","37480"
"Leaver CS","2022","Department of Health and Social Care","Operational Delivery","UK Health Security Agency","520","480","39570","32790"
"Leaver CS","2022","Department of Health and Social Care","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Other","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Other","Medicines and Healthcare Products Regulatory Agency","70","60","51210","46460"
"Leaver CS","2022","Department of Health and Social Care","Policy","Department of Health and Social Care (excl. agencies)","180","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Property","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","60","60","48600","40450"
"Leaver CS","2022","Department of Health and Social Care","Science and Engineering","Public Health England","320","290","43120","40060"
"Leaver CS","2022","Department of Health and Social Care","Science and Engineering","UK Health Security Agency","180","160","36210","34270"
"Leaver CS","2022","Department of Health and Social Care","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Statistics","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Unknown","Department of Health and Social Care (excl. agencies)","110","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Inspector of Education and Training","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
