"Status","Year","Sex","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Male","65+","Security","80","70","27420","23340"
"Leaver CS","2022","Male","65+","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","65+","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","65+","Unknown","430","310","42140","36130"
"Leaver CS","2022","Male","65+","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Communications","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Economics","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Human Resources","70","70","31580","30610"
"Leaver Dept.","2021","Female","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Operational Delivery","410","390","25000","22680"
"Leaver Dept.","2021","Female","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Other","60","60","27680","26820"
"Leaver Dept.","2021","Female","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Policy","410","400","36470","33640"
"Leaver Dept.","2021","Female","20-29","Project Delivery","70","70","31450","30420"
"Leaver Dept.","2021","Female","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","20-29","Unknown","1130","1030","31490","32000"
"Leaver Dept.","2021","Female","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Finance","50","40","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Human Resources","60","50","40490","36600"
"Leaver Dept.","2021","Female","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Operational Delivery","350","320","27860","24470"
"Leaver Dept.","2021","Female","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Policy","330","310","46260","47400"
"Leaver Dept.","2021","Female","30-39","Project Delivery","60","50","44220","42470"
"Leaver Dept.","2021","Female","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","30-39","Unknown","830","720","38030","32000"
"Leaver Dept.","2021","Female","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Operational Delivery","220","210","33940","26480"
"Leaver Dept.","2021","Female","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Other","50","40","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Policy","150","140","58050","56150"
"Leaver Dept.","2021","Female","40-49","Project Delivery","60","50","48970","42450"
"Leaver Dept.","2021","Female","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","40-49","Unknown","580","520","37700","31380"
"Leaver Dept.","2021","Female","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Operational Delivery","160","150","33270","24800"
"Leaver Dept.","2021","Female","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Policy","60","60","49390","42190"
"Leaver Dept.","2021","Female","50-59","Project Delivery","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","50-59","Unknown","410","380","35240","31100"
"Leaver Dept.","2021","Female","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","60-64","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Unknown","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Economics","40","30","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Operational Delivery","280","270","26500","24130"
"Leaver Dept.","2021","Male","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Policy","320","320","36110","33380"
"Leaver Dept.","2021","Male","20-29","Project Delivery","60","60","31270","28630"
"Leaver Dept.","2021","Male","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","20-29","Unknown","900","820","32100","32000"
"Leaver Dept.","2021","Male","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Digital, Data and Technology","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Operational Delivery","250","250","28450","25040"
"Leaver Dept.","2021","Male","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Policy","270","260","47060","50420"
"Leaver Dept.","2021","Male","30-39","Project Delivery","50","50","40020","36730"
"Leaver Dept.","2021","Male","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","30-39","Unknown","780","710","38160","32320"
"Leaver Dept.","2021","Male","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Operational Delivery","160","160","33030","25670"
"Leaver Dept.","2021","Male","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Policy","90","90","56160","53830"
"Leaver Dept.","2021","Male","40-49","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","40-49","Unknown","400","360","39470","32000"
"Leaver Dept.","2021","Male","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Operational Delivery","130","130","33620","26440"
"Leaver Dept.","2021","Male","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Policy","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","50-59","Unknown","270","260","40790","33180"
"Leaver Dept.","2021","Male","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Unknown","60","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Commercial","60","30","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Communications","70","60","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Digital, Data and Technology","80","60","34460","34000"
"Leaver Dept.","2022","Female","20-29","Economics","40","30","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Finance","70","50","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Human Resources","150","130","29780","28790"
"Leaver Dept.","2022","Female","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","International Trade","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Operational Delivery","1560","1500","27350","26880"
"Leaver Dept.","2022","Female","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Other","180","170","27360","27500"
"Leaver Dept.","2022","Female","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Policy","520","430","36680","34020"
"Leaver Dept.","2022","Female","20-29","Project Delivery","70","70","30930","29520"
"Leaver Dept.","2022","Female","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","20-29","Science and Engineering","330","310","29240","28590"
"Leaver Dept.","2022","Female","20-29","Security","[c]","[c]","[c]","[c]"
