"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","EO","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Ministry of Defence","60","50","28200","26740"
"Leaver CS","2022","EO","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Ministry of Defence","30","30","[c]","[c]"
"Leaver CS","2022","EO","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Grants Management","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Department for Work and Pensions","50","50","27870","27570"
"Leaver CS","2022","EO","Human Resources","Department of Health and Social Care","30","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","Attorney General's Departments","80","70","28200","27350"
"Leaver CS","2022","EO","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Department for Business, Energy and Industrial Strategy","70","60","26000","24570"
"Leaver CS","2022","EO","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Department for Education","50","50","[c]","[c]"
"Leaver CS","2022","EO","No function","Department for Environment, Food and Rural Affairs","100","100","25600","25100"
"Leaver CS","2022","EO","No function","Department for International Trade","40","40","[c]","[c]"
"Leaver CS","2022","EO","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Department for Transport","340","300","27740","26780"
"Leaver CS","2022","EO","No function","Department for Work and Pensions","3700","3260","28310","27570"
"Leaver CS","2022","EO","No function","Department of Health and Social Care","430","360","25650","25260"
"Leaver CS","2022","EO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","HM Land Registry","90","70","27550","27130"
"Leaver CS","2022","EO","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Ministry of Defence","130","120","21420","20480"
"Leaver CS","2022","EO","No function","Ministry of Justice","770","720","25540","25120"
"Leaver CS","2022","EO","No function","National Crime Agency","110","110","34280","34140"
"Leaver CS","2022","EO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"Leaver CS","2022","EO","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","Scottish Government","170","140","33270","35000"
"Leaver CS","2022","EO","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","No function","UK Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2022","EO","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","Ministry of Defence","200","190","22470","22080"
"Leaver CS","2022","EO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","HM Revenue and Customs","50","40","26210","26030"
"Leaver CS","2022","EO","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Property","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","Ministry of Defence","90","80","34570","29250"
"Leaver CS","2022","EO","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Department for Work and Pensions","560","520","27840","27570"
"Leaver CS","2022","EO","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","HM Revenue and Customs","850","720","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Home Office","850","710","27470","27240"
"Leaver CS","2022","EO","Unknown","Ministry of Defence","400","380","28330","27770"
"Leaver CS","2022","EO","Unknown","Scottish Government","150","140","29440","28990"
"Leaver CS","2022","EO","Unknown","Welsh Government","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Department of Health and Social Care","40","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Cabinet Office","120","110","68730","67440"
"Leaver CS","2022","G6/G7","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Cabinet Office","80","80","59180","56520"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Education","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department for Work and Pensions","90","90","59780","59590"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Attorney General's Departments","280","240","58010","55610"
"Leaver CS","2022","G6/G7","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
