"Status","Year","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Operational Delivery","Undeclared","760","650","29460","26780"
"Leaver CS","2022","Operational Delivery","Unknown","4050","3740","27690","23770"
"Leaver CS","2022","Operational Delivery","White","14260","12490","28370","26780"
"Leaver CS","2022","Operational Research","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","White","30","30","[c]","[c]"
"Leaver CS","2022","Other","Asian","120","110","30930","27400"
"Leaver CS","2022","Other","Black","80","80","31090","31060"
"Leaver CS","2022","Other","Mixed","60","60","26990","26350"
"Leaver CS","2022","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Undeclared","120","110","29000","25190"
"Leaver CS","2022","Other","Unknown","570","550","32300","30370"
"Leaver CS","2022","Other","White","1910","1760","28580","22500"
"Leaver CS","2022","Planning","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Asian","130","120","42840","40050"
"Leaver CS","2022","Policy","Black","60","50","[c]","[c]"
"Leaver CS","2022","Policy","Mixed","50","50","[c]","[c]"
"Leaver CS","2022","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Undeclared","50","50","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","400","270","40850","36500"
"Leaver CS","2022","Policy","White","890","810","48250","44440"
"Leaver CS","2022","Project Delivery","Asian","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","90","80","39850","38600"
"Leaver CS","2022","Project Delivery","White","540","500","41630","38310"
"Leaver CS","2022","Property","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Property","Unknown","70","60","29830","25020"
"Leaver CS","2022","Property","White","300","280","36070","33300"
"Leaver CS","2022","Psychology","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","White","70","70","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Asian","80","70","34890","32900"
"Leaver CS","2022","Science and Engineering","Black","60","50","37190","36330"
"Leaver CS","2022","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Undeclared","100","90","41160","40060"
"Leaver CS","2022","Science and Engineering","Unknown","120","110","30120","25750"
"Leaver CS","2022","Science and Engineering","White","1060","980","38560","36460"
"Leaver CS","2022","Security","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Security","Unknown","110","100","28630","25580"
"Leaver CS","2022","Security","White","530","500","32650","31510"
"Leaver CS","2022","Social Research","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","White","30","30","[c]","[c]"
"Leaver CS","2022","Statistics","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","White","60","60","39930","33820"
"Leaver CS","2022","Tax","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","White","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Asian","470","400","37560","28550"
"Leaver CS","2022","Unknown","Black","200","170","31990","30720"
"Leaver CS","2022","Unknown","Mixed","130","110","33710","27570"
"Leaver CS","2022","Unknown","Other ethnicity","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","270","230","36370","30540"
"Leaver CS","2022","Unknown","Unknown","2850","2490","36020","27570"
"Leaver CS","2022","Unknown","White","4710","3900","37780","30040"
"Leaver CS","2022","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","White","120","110","37920","37280"
"Leaver Dept.","2021","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","50","50","41700","39430"
"Leaver Dept.","2021","Communications","White","110","110","45170","40310"
"Leaver Dept.","2021","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","White","110","110","44330","38360"
"Leaver Dept.","2021","Economics","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","White","70","70","42510","36870"
"Leaver Dept.","2021","Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Finance","White","130","130","47960","47450"
"Leaver Dept.","2021","Human Resources","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Human Resources","White","200","190","39720","36030"
"Leaver Dept.","2021","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","White","40","40","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","International Trade","White","60","60","47800","48890"
"Leaver Dept.","2021","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","White","30","30","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","White","80","70","55880","54810"
"Leaver Dept.","2021","Medicine","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Asian","220","210","27620","24920"
"Leaver Dept.","2021","Operational Delivery","Black","110","100","27350","24890"
"Leaver Dept.","2021","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Mixed","40","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Undeclared","110","110","31240","25410"
"Leaver Dept.","2021","Operational Delivery","Unknown","380","370","27670","22820"
"Leaver Dept.","2021","Operational Delivery","White","1120","1080","29640","24880"
"Leaver Dept.","2021","Operational Research","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","White","30","30","[c]","[c]"
"Leaver Dept.","2021","Other","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Other","White","190","180","37460","31140"
"Leaver Dept.","2021","Planning","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Asian","130","130","40700","36800"
"Leaver Dept.","2021","Policy","Black","60","60","38150","34030"
"Leaver Dept.","2021","Policy","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Mixed","60","60","46120","41410"
"Leaver Dept.","2021","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","570","560","41700","37230"
"Leaver Dept.","2021","Policy","White","800","770","47050","42170"
"Leaver Dept.","2021","Project Delivery","Asian","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","70","70","41720","37610"
"Leaver Dept.","2021","Project Delivery","White","270","260","42590","38560"
"Leaver Dept.","2021","Property","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","40","40","[c]","[c]"
"Leaver Dept.","2021","Psychology","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","100","100","37190","33300"
"Leaver Dept.","2021","Security","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","60","60","40860","35790"
"Leaver Dept.","2021","Tax","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","410","380","34060","31060"
"Leaver Dept.","2021","Unknown","Black","210","190","33170","30240"
"Leaver Dept.","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","140","130","37300","32000"
"Leaver Dept.","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","160","150","35210","31420"
"Leaver Dept.","2021","Unknown","Unknown","1690","1430","35900","32000"
"Leaver Dept.","2021","Unknown","White","2840","2600","35920","31990"
"Leaver Dept.","2022","Commercial","Asian","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","170","30","[c]","[c]"
"Leaver Dept.","2022","Commercial","White","260","240","39970","36780"
"Leaver Dept.","2022","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","130","40","[c]","[c]"
"Leaver Dept.","2022","Communications","White","220","200","43870","37830"
"Leaver Dept.","2022","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
