"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Counter Fraud","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Female","Digital, Data & Technology","70","60","45730","41950"
"Leaver Dept.","2021","Digital, Data and Technology","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Male","Digital, Data & Technology","80","80","45260","41720"
"Leaver Dept.","2021","Digital, Data and Technology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Female","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2021","Economics","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Male","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","Economics","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Finance","90","80","47680","48860"
"Leaver Dept.","2021","Finance","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Finance","80","80","45610","43250"
"Leaver Dept.","2021","Finance","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Human Resources","180","170","39740","35080"
"Leaver Dept.","2021","Human Resources","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Human Resources","100","100","38300","34400"
"Leaver Dept.","2021","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Female","No function","60","60","44590","39540"
"Leaver Dept.","2021","International Trade","Male","No function","80","80","46630","43170"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","Legal","70","70","54680","52830"
"Leaver Dept.","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","No function","750","710","27970","22570"
"Leaver Dept.","2021","Operational Delivery","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Female","Unknown","270","250","29930","25220"
"Leaver Dept.","2021","Operational Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","No function","560","550","29070","23600"
"Leaver Dept.","2021","Operational Delivery","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Male","Unknown","190","190","28190","25120"
"Leaver Dept.","2021","Operational Research","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","No function","30","30","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Female","Unknown","90","80","31190","27040"
"Leaver Dept.","2021","Other","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Male","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Planning","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","No function","700","680","43170","38750"
"Leaver Dept.","2021","Policy","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Female","Unknown","220","210","47250","42170"
"Leaver Dept.","2021","Policy","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","No function","590","580","43190","38700"
"Leaver Dept.","2021","Policy","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Male","Unknown","110","110","46560","42330"
"Leaver Dept.","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Project Delivery","140","140","42620","38160"
"Leaver Dept.","2021","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Female","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Project Delivery","140","140","41160","37900"
"Leaver Dept.","2021","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Male","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Male","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Female","Analysis","50","40","[c]","[c]"
"Leaver Dept.","2021","Statistics","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Male","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","Statistics","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Human Resources","110","110","38000","32910"
"Leaver Dept.","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","No function","610","600","38510","32000"
"Leaver Dept.","2021","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","2200","1860","31970","27570"
"Leaver Dept.","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Human Resources","60","60","37700","32910"
"Leaver Dept.","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","No function","450","440","39390","32000"
"Leaver Dept.","2021","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","1800","1580","33730","28230"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Commercial","220","120","40580","38980"
"Leaver Dept.","2022","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Commercial","180","110","46030","41500"
"Leaver Dept.","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Communications","220","150","40530","36330"
"Leaver Dept.","2022","Communications","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Communications","160","100","42970","36930"
"Leaver Dept.","2022","Communications","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Female","Counter Fraud","60","50","30490","27570"
"Leaver Dept.","2022","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Male","Counter Fraud","60","60","31310","27610"
"Leaver Dept.","2022","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Digital, Data & Technology","290","230","40650","36780"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Digital, Data & Technology","390","340","42010","38000"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Female","Analysis","50","40","[c]","[c]"
"Leaver Dept.","2022","Economics","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Male","Analysis","80","70","42960","34940"
