"Status","Year","Sex","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Female","Northumberland, and Tyne and Wear","North East (England)","1730","1660","25510","21300"
"New entrant CS","2022","Female","Outer London - East and North East","London","430","410","29610","29020"
"New entrant CS","2022","Female","Outer London - South","London","690","660","32670","30600"
"New entrant CS","2022","Female","Outer London - West and North West","London","750","710","30710","30120"
"New entrant CS","2022","Female","Overseas","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Shropshire and Staffordshire","West Midlands (England)","680","650","26710","23170"
"New entrant CS","2022","Female","South Yorkshire","Yorkshire and The Humber","690","660","27510","25000"
"New entrant CS","2022","Female","Southern Scotland","Scotland","430","410","24710","22000"
"New entrant CS","2022","Female","Surrey, East and West Sussex","South East (England)","810","770","28470","26140"
"New entrant CS","2022","Female","Tees Valley and Durham","North East (England)","780","760","26690","23170"
"New entrant CS","2022","Female","Unknown","Unknown","470","410","29730","28000"
"New entrant CS","2022","Female","West Central Scotland","Scotland","1740","1690","28750","27230"
"New entrant CS","2022","Female","West Midlands","West Midlands (England)","2040","1940","27920","25520"
"New entrant CS","2022","Female","West Wales and The Valleys","Wales","960","910","25110","21840"
"New entrant CS","2022","Female","West Yorkshire","Yorkshire and The Humber","1860","1730","28690","26310"
"New entrant CS","2022","Male","Bedfordshire and Hertfordshire","East of England","310","310","29840","28140"
"New entrant CS","2022","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","550","540","30330","28140"
"New entrant CS","2022","Male","Cheshire","North West (England)","240","230","29610","25160"
"New entrant CS","2022","Male","Cornwall and Isles of Scilly","South West (England)","110","100","25610","22630"
"New entrant CS","2022","Male","Cumbria","North West (England)","150","140","28490","24920"
"New entrant CS","2022","Male","Derbyshire and Nottinghamshire","East Midlands (England)","910","890","27430","26310"
"New entrant CS","2022","Male","Devon","South West (England)","500","490","27390","24150"
"New entrant CS","2022","Male","Dorset and Somerset","South West (England)","340","330","27870","25000"
"New entrant CS","2022","Male","East Anglia","East of England","790","770","27450","25000"
"New entrant CS","2022","Male","East Wales","Wales","1180","1160","29280","25710"
"New entrant CS","2022","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","250","250","25160","23140"
"New entrant CS","2022","Male","Eastern Scotland","Scotland","1410","1390","29670","27230"
"New entrant CS","2022","Male","Essex","East of England","280","270","28640","25890"
"New entrant CS","2022","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1820","1800","32120","28590"
"New entrant CS","2022","Male","Greater Manchester","North West (England)","1610","1570","29670","26590"
"New entrant CS","2022","Male","Hampshire and Isle of Wight","South East (England)","850","810","30100","26350"
"New entrant CS","2022","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","270","260","26900","23630"
"New entrant CS","2022","Male","Highlands and Islands","Scotland","80","80","27670","26930"
"New entrant CS","2022","Male","Inner London - East","London","1200","1180","38250","32330"
"New entrant CS","2022","Male","Inner London - West","London","3330","3240","39000","33650"
"New entrant CS","2022","Male","Kent","South East (England)","490","470","26690","24930"
"New entrant CS","2022","Male","Lancashire","North West (England)","650","640","26190","23140"
"New entrant CS","2022","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","390","380","25660","23140"
"New entrant CS","2022","Male","Lincolnshire","East Midlands (England)","200","200","26990","25710"
"New entrant CS","2022","Male","Merseyside","North West (England)","1090","1070","26510","24880"
"New entrant CS","2022","Male","North Eastern Scotland","Scotland","120","120","33280","27230"
"New entrant CS","2022","Male","North Yorkshire","Yorkshire and The Humber","310","310","31620","28000"
"New entrant CS","2022","Male","Northern Ireland","Northern Ireland","300","300","28220","26590"
"New entrant CS","2022","Male","Northumberland, and Tyne and Wear","North East (England)","1260","1250","27270","24880"
"New entrant CS","2022","Male","Outer London - East and North East","London","260","260","30720","30460"
"New entrant CS","2022","Male","Outer London - South","London","480","470","35830","31060"
"New entrant CS","2022","Male","Outer London - West and North West","London","520","490","31000","29260"
"New entrant CS","2022","Male","Overseas","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Shropshire and Staffordshire","West Midlands (England)","410","400","28960","24880"
"New entrant CS","2022","Male","South Yorkshire","Yorkshire and The Humber","530","520","30590","27570"
"New entrant CS","2022","Male","Southern Scotland","Scotland","270","270","24140","21260"
"New entrant CS","2022","Male","Surrey, East and West Sussex","South East (England)","520","490","29820","27570"
"New entrant CS","2022","Male","Tees Valley and Durham","North East (England)","440","440","27230","24430"
"New entrant CS","2022","Male","Unknown","Unknown","400","370","29200","27270"
"New entrant CS","2022","Male","West Central Scotland","Scotland","1410","1380","29250","26590"
"New entrant CS","2022","Male","West Midlands","West Midlands (England)","1470","1440","29470","26590"
"New entrant CS","2022","Male","West Wales and The Valleys","Wales","720","710","26050","22350"
"New entrant CS","2022","Male","West Yorkshire","Yorkshire and The Humber","1530","1450","29590","26590"
"New entrant CS","2022","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","","",""
"","ITL 1 divides into Wales, Scotland, Northern Ireland, and the 9 statistical regions of England.","","","","","","",""
"Region_ITL2","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","","",""
"","ITL 2 divides into Northern Ireland, counties in England (most grouped), groups of districts in Greater London, groups of unitary authorities in Wales, groups of council areas in Scotland.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
