"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","No function","Knowledge and Information Management","G6/G7","60","60","55160","53220"
"Leaver CS","2022","No function","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","SEO/HEO","150","140","35090","36330"
"Leaver CS","2022","No function","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","SCS","120","100","100960","101430"
"Leaver CS","2022","No function","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","AA/AO","9900","8880","21240","21260"
"Leaver CS","2022","No function","Operational Delivery","EO","5240","4650","28120","27570"
"Leaver CS","2022","No function","Operational Delivery","G6/G7","720","670","58460","56000"
"Leaver CS","2022","No function","Operational Delivery","SCS","90","80","97310","91260"
"Leaver CS","2022","No function","Operational Delivery","SEO/HEO","1860","1670","37050","36260"
"Leaver CS","2022","No function","Operational Delivery","Unknown","1480","1330","34450","29600"
"Leaver CS","2022","No function","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Research","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","AA/AO","130","130","21610","21260"
"Leaver CS","2022","No function","Other","EO","330","300","26730","27570"
"Leaver CS","2022","No function","Other","G6/G7","80","80","60760","55000"
"Leaver CS","2022","No function","Other","SCS","30","30","[c]","[c]"
"Leaver CS","2022","No function","Other","SEO/HEO","150","130","35690","34290"
"Leaver CS","2022","No function","Planning","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","AA/AO","80","70","[c]","[c]"
"Leaver CS","2022","No function","Policy","EO","160","130","26670","26840"
"Leaver CS","2022","No function","Policy","G6/G7","370","310","56960","53600"
"Leaver CS","2022","No function","Policy","SCS","60","50","[c]","[c]"
"Leaver CS","2022","No function","Policy","SEO/HEO","530","430","36050","34080"
"Leaver CS","2022","No function","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","No function","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Psychology","EO","40","40","[c]","[c]"
"Leaver CS","2022","No function","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Psychology","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2022","No function","Science and Engineering","AA/AO","110","100","19890","19450"
"Leaver CS","2022","No function","Science and Engineering","EO","110","100","24520","24110"
"Leaver CS","2022","No function","Science and Engineering","G6/G7","210","190","57770","53220"
"Leaver CS","2022","No function","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Science and Engineering","SEO/HEO","470","420","36500","37190"
"Leaver CS","2022","No function","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Tax","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Tax","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Tax","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Unknown","AA/AO","210","180","[c]","[c]"
"Leaver CS","2022","No function","Unknown","EO","150","140","28640","29200"
"Leaver CS","2022","No function","Unknown","G6/G7","130","130","60410","57600"
"Leaver CS","2022","No function","Unknown","SCS","40","30","[c]","[c]"
"Leaver CS","2022","No function","Unknown","SEO/HEO","310","290","36000","34880"
"Leaver CS","2022","No function","Unknown","Unknown","330","280","[c]","[c]"
"Leaver CS","2022","No function","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Veterinarian","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other","EO","100","90","21580","20960"
"Leaver CS","2022","Project Delivery","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other","SEO/HEO","70","70","32650","31120"
"Leaver CS","2022","Project Delivery","Policy","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Policy","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Policy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Project Delivery","AA/AO","40","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Project Delivery","EO","70","70","25380","26100"
"Leaver CS","2022","Project Delivery","Project Delivery","G6/G7","130","120","58660","57440"
"Leaver CS","2022","Project Delivery","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Project Delivery","SEO/HEO","320","300","36790","37440"
"Leaver CS","2022","Project Delivery","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Science and Engineering","EO","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Science and Engineering","SEO/HEO","120","110","37700","36850"
"Leaver CS","2022","Project Delivery","Science and Engineering","Unknown","60","50","36390","33450"
"Leaver CS","2022","Project Delivery","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Statistics","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Operational Delivery","AA/AO","130","120","21510","21880"
"Leaver CS","2022","Property","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","AA/AO","100","90","19460","19010"
"Leaver CS","2022","Property","Property","EO","80","70","26350","26030"
"Leaver CS","2022","Property","Property","G6/G7","50","50","59790","58250"
"Leaver CS","2022","Property","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","SEO/HEO","180","160","39150","39050"
"Leaver CS","2022","Property","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Intelligence Analysis","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Security","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Other","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","AA/AO","510","490","28730","25540"
"Leaver CS","2022","Security","Security","EO","80","70","36130","43290"
"Leaver CS","2022","Security","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Security","SEO/HEO","60","60","42680","37870"
"Leaver CS","2022","Security","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","G6/G7","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","SEO/HEO","70","70","39640","40450"
"Leaver CS","2022","Unknown","Economics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","EO","60","50","25680","26670"
"Leaver CS","2022","Unknown","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","SEO/HEO","90","80","36450","33630"
"Leaver CS","2022","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","EO","50","40","27220","27370"
"Leaver CS","2022","Unknown","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","AA/AO","50","50","22830","23280"
"Leaver CS","2022","Unknown","Medicine","EO","60","50","31210","31530"
"Leaver CS","2022","Unknown","Medicine","G6/G7","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","SEO/HEO","110","100","39190","39030"
"Leaver CS","2022","Unknown","Operational Delivery","AA/AO","520","400","21980","21680"
"Leaver CS","2022","Unknown","Operational Delivery","EO","720","590","27410","26210"
"Leaver CS","2022","Unknown","Operational Delivery","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","SEO/HEO","200","180","36620","35600"
"Leaver CS","2022","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Research","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","AA/AO","840","780","20950","21130"
"Leaver CS","2022","Unknown","Other","EO","280","270","28270","28210"
"Leaver CS","2022","Unknown","Other","G6/G7","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","SEO/HEO","240","220","38940","37410"
"Leaver CS","2022","Unknown","Other","Unknown","250","250","36830","33570"
"Leaver CS","2022","Unknown","Planning","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","EO","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","G6/G7","70","70","62810","61440"
"Leaver CS","2022","Unknown","Policy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","SEO/HEO","120","110","38980","38160"
"Leaver CS","2022","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","AA/AO","70","70","21780","22200"
"Leaver CS","2022","Unknown","Science and Engineering","EO","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","SEO/HEO","70","70","39310","39240"
"Leaver CS","2022","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","AA/AO","3480","2940","22260","21260"
"Leaver CS","2022","Unknown","Unknown","EO","1590","1380","28140","27570"
"Leaver CS","2022","Unknown","Unknown","G6/G7","490","400","64710","62170"
"Leaver CS","2022","Unknown","Unknown","SCS","80","60","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","1190","980","39080","37640"
"Leaver CS","2022","Unknown","Unknown","Unknown","100","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Economics","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Other","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Policy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Statistics","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Commercial","SEO/HEO","60","50","38320","39270"
"Leaver Dept.","2021","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Communications","AA/AO","[c]","[c]","[c]","[c]"
