"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Heterosexual / straight","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Operational Delivery","890","800","31370","28200"
"Leaver CS","2022","Heterosexual / straight","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Science and Engineering","50","50","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Unknown","190","150","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Operational Delivery","550","530","21250","21260"
"Leaver CS","2022","LGBO","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Other","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Operational Delivery","360","340","27850","27570"
"Leaver CS","2022","LGBO","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Other","30","30","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","EO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Operational Delivery","80","80","35370","34260"
"Leaver CS","2022","LGBO","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Policy","50","50","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Operational Delivery","80","80","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Operational Delivery","720","580","21210","21260"
"Leaver CS","2022","Undeclared","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Other","120","110","20960","21170"
"Leaver CS","2022","Undeclared","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Security","60","60","30820","33980"
"Leaver CS","2022","Undeclared","AA/AO","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Operational Delivery","580","470","27990","27570"
"Leaver CS","2022","Undeclared","EO","Other","70","60","26680","27500"
"Leaver CS","2022","Undeclared","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Legal","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Operational Delivery","100","80","59780","56950"
"Leaver CS","2022","Undeclared","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Policy","80","40","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Commercial","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Digital, Data and Technology","90","60","38790","38580"
"Leaver CS","2022","Undeclared","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Finance","60","30","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Operational Delivery","220","190","37960","36350"
"Leaver CS","2022","Undeclared","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Other","50","50","38780","38160"
"Leaver CS","2022","Undeclared","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Policy","120","60","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Science and Engineering","90","80","37500","37640"
"Leaver CS","2022","Undeclared","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Operational Delivery","80","70","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Operational Delivery","3050","2730","21350","21260"
"Leaver CS","2022","Unknown","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Other","150","140","21740","21260"
"Leaver CS","2022","Unknown","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
