"Status","Year","Ethnicity","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","White","Male","Finance","210","200","43750","36820"
"Leaver CS","2022","White","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Human Resources","120","110","41100","36330"
"Leaver CS","2022","White","Male","Inspector of Education and Training","40","30","[c]","[c]"
"Leaver CS","2022","White","Male","Intelligence Analysis","60","50","32580","30500"
"Leaver CS","2022","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Knowledge and Information Management","100","100","37280","36330"
"Leaver CS","2022","White","Male","Legal","150","140","58570","55000"
"Leaver CS","2022","White","Male","Medicine","90","80","71420","75870"
"Leaver CS","2022","White","Male","Operational Delivery","6120","5600","29220","27370"
"Leaver CS","2022","White","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Other","980","930","29700","25630"
"Leaver CS","2022","White","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Policy","430","400","51980","51920"
"Leaver CS","2022","White","Male","Project Delivery","310","300","43020","39800"
"Leaver CS","2022","White","Male","Property","190","180","37090","34290"
"Leaver CS","2022","White","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Science and Engineering","620","580","37820","33950"
"Leaver CS","2022","White","Male","Security","420","400","32880","32870"
"Leaver CS","2022","White","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Statistics","40","40","[c]","[c]"
"Leaver CS","2022","White","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Unknown","2070","1800","39950","32040"
"Leaver CS","2022","White","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Operational Delivery","130","130","27940","24890"
"Leaver Dept.","2021","Asian","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Policy","90","80","41500","36790"
"Leaver Dept.","2021","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Unknown","200","180","34440","31060"
"Leaver Dept.","2021","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Operational Delivery","80","80","27130","25080"
"Leaver Dept.","2021","Asian","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Policy","50","40","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Unknown","210","200","33540","31060"
"Leaver Dept.","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Operational Delivery","80","70","27850","25180"
"Leaver Dept.","2021","Black","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Unknown","130","120","33180","30240"
"Leaver Dept.","2021","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Unknown","90","80","33150","30350"
"Leaver Dept.","2021","Black","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Unknown","80","70","36080","32000"
"Leaver Dept.","2021","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Policy","[c]","[c]","[c]","[c]"
