"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Male","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Ministry of Justice","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Cabinet Office","60","60","37490","32910"
"Leaver Dept.","2021","Male","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Attorney General's Departments","60","50","47590","51250"
"Leaver Dept.","2021","Male","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Cabinet Office","430","430","39760","32000"
"Leaver Dept.","2021","Male","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Department for Business, Energy and Industrial Strategy","230","210","44420","40050"
"Leaver Dept.","2021","Male","No function","Department for Digital, Culture, Media and Sport","70","70","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Department for Environment, Food and Rural Affairs","180","170","38370","34680"
"Leaver Dept.","2021","Male","No function","Department for International Trade","110","110","44760","38600"
"Leaver Dept.","2021","Male","No function","Department for Transport","60","60","27640","21590"
"Leaver Dept.","2021","Male","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","HM Treasury","60","60","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Ministry of Housing, Communities and Local Government","120","120","38320","33210"
"Leaver Dept.","2021","Male","No function","Ministry of Justice","360","360","27870","22570"
"Leaver Dept.","2021","Male","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","No function","United Kingdom Statistics Authority","60","50","[c]","[c]"
"Leaver Dept.","2021","Male","No function","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Defence","160","160","37270","33300"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","HM Revenue and Customs","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Department for Education","90","90","39460","35950"
"Leaver Dept.","2021","Male","Unknown","Department for Transport","110","110","44620","42460"
"Leaver Dept.","2021","Male","Unknown","Department for Work and Pensions","550","550","30500","27570"
"Leaver Dept.","2021","Male","Unknown","Department of Health and Social Care","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Foreign, Commonwealth and Development Office","130","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","HM Revenue and Customs","750","740","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Home Office","430","420","34640","28670"
"Leaver Dept.","2021","Male","Unknown","Ministry of Defence","160","160","39190","37640"
"Leaver Dept.","2021","Male","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Department of Health and Social Care","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","UK Statistics Authority","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
