"Status","Year","Sex","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Male","Unknown","Other","320","320","32700","29930"
"Leaver CS","2021","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Policy","150","150","43950","38750"
"Leaver CS","2021","Male","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Property","70","60","27870","25500"
"Leaver CS","2021","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Science and Engineering","90","90","33460","28540"
"Leaver CS","2021","Male","Unknown","Security","100","100","28240","24610"
"Leaver CS","2021","Male","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Unknown","1390","1220","34880","27570"
"Leaver CS","2021","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","60","60","44710","40010"
"Leaver CS","2022","Female","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Operational Delivery","1490","1250","26740","26400"
"Leaver CS","2022","Female","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Other","150","120","26020","22100"
"Leaver CS","2022","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Policy","80","70","38990","34680"
"Leaver CS","2022","Female","Declared disabled","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared disabled","Unknown","440","350","31280","27570"
"Leaver CS","2022","Female","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Commercial","110","90","36880","34370"
"Leaver CS","2022","Female","Declared non-disabled","Communications","120","110","40130","37740"
"Leaver CS","2022","Female","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Counter Fraud","110","80","27750","27570"
"Leaver CS","2022","Female","Declared non-disabled","Digital, Data and Technology","240","220","41070","38070"
"Leaver CS","2022","Female","Declared non-disabled","Economics","40","40","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Finance","200","180","35940","33000"
"Leaver CS","2022","Female","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Human Resources","260","230","38050","33350"
"Leaver CS","2022","Female","Declared non-disabled","Inspector of Education and Training","70","70","64590","72990"
"Leaver CS","2022","Female","Declared non-disabled","Intelligence Analysis","40","30","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Knowledge and Information Management","200","180","33890","29270"
"Leaver CS","2022","Female","Declared non-disabled","Legal","190","160","56430","55020"
"Leaver CS","2022","Female","Declared non-disabled","Medicine","170","150","54940","39030"
"Leaver CS","2022","Female","Declared non-disabled","Operational Delivery","7740","6640","27790","26520"
"Leaver CS","2022","Female","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Other","870","780","27640","22330"
"Leaver CS","2022","Female","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Policy","460","410","44700","40050"
"Leaver CS","2022","Female","Declared non-disabled","Project Delivery","220","210","40740","37890"
"Leaver CS","2022","Female","Declared non-disabled","Property","100","90","34750","33250"
"Leaver CS","2022","Female","Declared non-disabled","Psychology","60","50","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Science and Engineering","450","410","37860","37450"
"Leaver CS","2022","Female","Declared non-disabled","Security","90","80","29240","26670"
"Leaver CS","2022","Female","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Declared non-disabled","Unknown","2380","1940","34960","27570"
"Leaver CS","2022","Female","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Operational Delivery","530","440","27700","25490"
"Leaver CS","2022","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Other","70","60","26320","21980"
"Leaver CS","2022","Female","Undeclared","Policy","40","40","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Unknown","200","160","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Commercial","70","30","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Communications","90","60","37900","33030"
"Leaver CS","2022","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Digital, Data and Technology","120","100","38010","34530"
"Leaver CS","2022","Female","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Finance","80","50","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Human Resources","90","70","31550","27140"
"Leaver CS","2022","Female","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Knowledge and Information Management","70","60","35330","29250"
"Leaver CS","2022","Female","Unknown","Legal","70","70","51950","53050"
"Leaver CS","2022","Female","Unknown","Medicine","110","90","53610","39030"
"Leaver CS","2022","Female","Unknown","Operational Delivery","2370","2150","28810","23720"
"Leaver CS","2022","Female","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Other","260","240","30420","27400"
"Leaver CS","2022","Female","Unknown","Policy","280","200","39480","34540"
"Leaver CS","2022","Female","Unknown","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Property","30","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Science and Engineering","80","70","41540","40060"
"Leaver CS","2022","Female","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Unknown","Unknown","1730","1450","34230","27570"
"Leaver CS","2022","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Digital, Data and Technology","70","60","37920","34290"
"Leaver CS","2022","Male","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Finance","30","30","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Operational Delivery","960","860","27050","26100"
"Leaver CS","2022","Male","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Other","140","130","26570","23130"
"Leaver CS","2022","Male","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Project Delivery","50","50","41010","40090"
"Leaver CS","2022","Male","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Science and Engineering","70","70","38680","36330"
"Leaver CS","2022","Male","Declared disabled","Security","50","40","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared disabled","Unknown","330","280","33120","27570"
"Leaver CS","2022","Male","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Commercial","110","110","40550","38020"
"Leaver CS","2022","Male","Declared non-disabled","Communications","80","70","39250","36980"
"Leaver CS","2022","Male","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Counter Fraud","90","80","30540","27570"
"Leaver CS","2022","Male","Declared non-disabled","Digital, Data and Technology","530","520","43060","40000"
"Leaver CS","2022","Male","Declared non-disabled","Economics","70","70","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Finance","210","200","43820","40060"
"Leaver CS","2022","Male","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Human Resources","110","110","40700","35840"
"Leaver CS","2022","Male","Declared non-disabled","Inspector of Education and Training","30","30","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Intelligence Analysis","60","60","32030","29250"
"Leaver CS","2022","Male","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","International Trade","30","30","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Knowledge and Information Management","90","90","38300","36330"
"Leaver CS","2022","Male","Declared non-disabled","Legal","140","130","58520","55610"
"Leaver CS","2022","Male","Declared non-disabled","Medicine","80","70","68140","70530"
"Leaver CS","2022","Male","Declared non-disabled","Operational Delivery","5720","5300","29140","27370"
"Leaver CS","2022","Male","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Other","820","790","30300","26350"
"Leaver CS","2022","Male","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Policy","420","400","51840","51730"
"Leaver CS","2022","Male","Declared non-disabled","Project Delivery","290","280","42210","39600"
"Leaver CS","2022","Male","Declared non-disabled","Property","170","150","39240","35480"
"Leaver CS","2022","Male","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Science and Engineering","610","580","36990","33930"
"Leaver CS","2022","Male","Declared non-disabled","Security","320","300","32720","28890"
"Leaver CS","2022","Male","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Statistics","30","30","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Declared non-disabled","Unknown","1870","1650","41260","33110"
"Leaver CS","2022","Male","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Digital, Data and Technology","60","60","40470","38450"
"Leaver CS","2022","Male","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Operational Delivery","610","540","28820","26880"
"Leaver CS","2022","Male","Undeclared","Other","80","80","28090","24250"
"Leaver CS","2022","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Policy","40","40","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Science and Engineering","50","50","35750","34980"
"Leaver CS","2022","Male","Undeclared","Security","40","40","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Unknown","200","180","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Commercial","80","50","39220","35340"
"Leaver CS","2022","Male","Unknown","Communications","50","40","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Digital, Data and Technology","300","280","41750","38400"
"Leaver CS","2022","Male","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Finance","80","60","37840","33410"
"Leaver CS","2022","Male","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Legal","60","50","52190","55000"
"Leaver CS","2022","Male","Unknown","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Operational Delivery","2150","2030","30190","26130"
"Leaver CS","2022","Male","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Other","500","490","33380","30480"
"Leaver CS","2022","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Policy","240","160","41840","38600"
"Leaver CS","2022","Male","Unknown","Project Delivery","70","70","43700","40000"
"Leaver CS","2022","Male","Unknown","Property","70","60","30640","25860"
"Leaver CS","2022","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Science and Engineering","130","120","38450","32690"
"Leaver CS","2022","Male","Unknown","Security","160","160","30870","27680"
"Leaver CS","2022","Male","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Unknown","Unknown","1500","1340","38620","29250"
"Leaver CS","2022","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Operational Delivery","90","80","29190","25170"
"Leaver Dept.","2021","Female","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Policy","70","70","42760","37640"
"Leaver Dept.","2021","Female","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","Unknown","250","230","34210","31990"
"Leaver Dept.","2021","Female","Declared non-disabled","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Communications","60","60","43700","40310"
"Leaver Dept.","2021","Female","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Digital, Data and Technology","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Economics","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Finance","90","90","47170","47450"
"Leaver Dept.","2021","Female","Declared non-disabled","Human Resources","120","120","37810","32920"
"Leaver Dept.","2021","Female","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared non-disabled","Legal","60","50","55160","51940"
"Leaver Dept.","2021","Female","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
