"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","HM Courts and Tribunals Service","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","AA/AO","Operational Delivery","80","70","22500","22350"
"Leaver CS","2021","HM Land Registry","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","EO","Operational Delivery","70","50","27150","27130"
"Leaver CS","2021","HM Land Registry","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Operational Delivery","50","40","34760","33840"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Operational Delivery","2720","2530","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","AA/AO","Unknown","100","90","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Operational Delivery","200","180","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Psychology","40","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","EO","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Operational Delivery","110","100","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Psychology","50","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","SEO/HEO","Unknown","110","90","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Operational Delivery","610","520","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Unknown","2440","1960","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","EO","Unknown","1170","960","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Unknown","340","300","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Unknown","1110","970","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","340","340","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Operational Delivery","230","170","21430","21430"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","AA/AO","Unknown","200","160","21490","21010"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Operational Delivery","240","200","26900","27240"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Other","50","40","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","EO","Unknown","160","140","26410","26730"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","G6/G7","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Operational Delivery","60","50","36190","35380"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","SEO/HEO","Unknown","110","100","36490","35760"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Other","410","380","20570","20920"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Property","60","50","18240","18260"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Security","290","280","27890","23540"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Other","250","240","29530","29930"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Security","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Security","[c]","[c]","[c]","[c]"
