"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","30-39","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","20-29","410","410","25980","23520"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","30-39","420","410","27690","24890"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","40-49","260","240","34370","26980"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","50-59","190","180","33840","25260"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","20-29","60","60","28400","27350"
"Leaver Dept.","2021","Heterosexual / straight","Other","30-39","50","50","32890","29220"
"Leaver Dept.","2021","Heterosexual / straight","Other","40-49","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","50-59","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","20-29","360","350","36280","33570"
"Leaver Dept.","2021","Heterosexual / straight","Policy","30-39","320","310","48310","51580"
"Leaver Dept.","2021","Heterosexual / straight","Policy","40-49","140","130","58610","55030"
"Leaver Dept.","2021","Heterosexual / straight","Policy","50-59","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","20-29","90","90","30920","28670"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","30-39","80","80","41310","40140"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","40-49","70","70","48480","45970"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","50-59","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Tax","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","20-29","640","620","31540","31990"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","30-39","610","570","37970","32000"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","40-49","420","400","37980","31640"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","50-59","280","270","38050","32450"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","20-29","50","50","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","30-39","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","20-29","60","60","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","30-39","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Tax","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","20-29","100","100","32260","32000"
"Leaver Dept.","2021","LGBO","Unknown","30-39","50","50","38140","32200"
"Leaver Dept.","2021","LGBO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","20-29","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","30-39","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","40-49","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Planning","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","20-29","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","30-39","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Psychology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
