"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Security","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","Security","60","50","32360","29320"
"Leaver CS","2022","Security","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Security","380","360","31730","28080"
"Leaver CS","2022","Security","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Security","50","40","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Security","180","180","30680","26750"
"Leaver CS","2022","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","Analysis","50","50","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","No function","120","110","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Unknown","620","490","28320","27570"
"Leaver CS","2022","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Communications","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Digital, Data & Technology","80","80","57230","56340"
"Leaver CS","2022","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Human Resources","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","No function","590","530","48460","42890"
"Leaver CS","2022","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Unknown","3420","2820","32280","27570"
"Leaver CS","2022","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","No function","100","90","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Unknown","280","240","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Commercial","120","110","79720","71390"
"Leaver CS","2022","Unknown","Unknown","Communications","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","No function","360","340","37020","32000"
"Leaver CS","2022","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","2610","2220","30240","27570"
"Leaver CS","2022","Veterinarian","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Commercial","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Communications","70","70","47000","42100"
"Leaver Dept.","2021","Communications","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Communications","60","60","42010","39600"
"Leaver Dept.","2021","Communications","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","Digital, Data & Technology","80","70","45510","40380"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","60","60","45190","43780"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared non-disabled","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Finance","110","100","46260","45200"
"Leaver Dept.","2021","Finance","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Human Resources","160","160","37790","33300"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Human Resources","70","70","42270","37240"
"Leaver Dept.","2021","Human Resources","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared non-disabled","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Declared non-disabled","No function","50","50","48410","50700"
"Leaver Dept.","2021","International Trade","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Unknown","No function","70","70","43530","38540"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared non-disabled","Legal","80","80","55940","53640"
"Leaver Dept.","2021","Legal","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","No function","100","100","25110","22570"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","No function","770","740","28900","22680"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","Unknown","370","350","28850","25040"
"Leaver Dept.","2021","Operational Delivery","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Undeclared","No function","80","80","25760","21380"
"Leaver Dept.","2021","Operational Delivery","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
