"Status","Year","Profession_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Science and Engineering","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","White","50","50","33030","32360"
"Leaver Dept.","2021","Science and Engineering","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Asian","120","110","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Black","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Undeclared","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Unknown","340","330","21270","21010"
"Leaver Dept.","2021","Unknown","AA/AO","White","610","570","21030","21010"
"Leaver Dept.","2021","Unknown","EO","Asian","130","120","28620","27570"
"Leaver Dept.","2021","Unknown","EO","Black","80","80","28280","27570"
"Leaver Dept.","2021","Unknown","EO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Mixed","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Unknown","260","220","28070","27570"
"Leaver Dept.","2021","Unknown","EO","White","760","710","27450","27570"
"Leaver Dept.","2021","Unknown","G6/G7","Asian","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Unknown","280","200","57010","54700"
"Leaver Dept.","2021","Unknown","G6/G7","White","440","390","57590","55650"
"Leaver Dept.","2021","Unknown","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","White","90","80","86500","80210"
"Leaver Dept.","2021","Unknown","SEO/HEO","Asian","120","110","36380","34550"
"Leaver Dept.","2021","Unknown","SEO/HEO","Black","70","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Mixed","60","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Unknown","700","590","32370","32000"
"Leaver Dept.","2021","Unknown","SEO/HEO","White","920","830","34880","34140"
"Leaver Dept.","2021","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","White","30","30","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","White","60","60","56800","54420"
"Leaver Dept.","2022","Commercial","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SCS","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","Unknown","120","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","White","150","140","35380","35310"
"Leaver Dept.","2022","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","White","50","40","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SCS","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","White","120","110","36600","36330"
"Leaver Dept.","2022","Corporate Finance","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","White","40","30","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","White","50","50","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","G6/G7","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","G6/G7","Black","[c]","[c]","[c]","[c]"
