"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Human Resources","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","20-29","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","30-39","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","40-49","50","50","41460","40860"
"Leaver CS","2021","Human Resources","Human Resources","50-59","50","50","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","60-64","60","60","40120","37640"
"Leaver CS","2021","Human Resources","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Legal","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Legal","Legal","30-39","80","70","49620","51190"
"Leaver CS","2021","Legal","Legal","40-49","50","40","52050","54200"
"Leaver CS","2021","Legal","Legal","50-59","100","90","57910","55610"
"Leaver CS","2021","Legal","Legal","60-64","90","70","58920","55610"
"Leaver CS","2021","Legal","Legal","65+","50","30","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","30-39","50","40","36020","33180"
"Leaver CS","2021","Medicine","Unknown","40-49","60","50","43630","37890"
"Leaver CS","2021","Medicine","Unknown","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","20-29","70","70","23420","22820"
"Leaver CS","2021","Operational Delivery","Legal","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","65+","40","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","No function","16-19","30","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","No function","20-29","1830","1790","22430","21170"
"Leaver CS","2021","Operational Delivery","No function","30-39","1210","1140","27720","22810"
"Leaver CS","2021","Operational Delivery","No function","40-49","860","790","29630","24250"
"Leaver CS","2021","Operational Delivery","No function","50-59","1300","1190","31090","25840"
"Leaver CS","2021","Operational Delivery","No function","60-64","920","740","30360","25870"
"Leaver CS","2021","Operational Delivery","No function","65+","910","650","25760","21360"
"Leaver CS","2021","Operational Delivery","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","20-29","120","110","25990","24890"
"Leaver CS","2021","Operational Delivery","Unknown","30-39","120","100","28230","24890"
"Leaver CS","2021","Operational Delivery","Unknown","40-49","80","70","29470","25590"
"Leaver CS","2021","Operational Delivery","Unknown","50-59","170","150","30480","27240"
"Leaver CS","2021","Operational Delivery","Unknown","60-64","100","80","33620","28350"
"Leaver CS","2021","Operational Delivery","Unknown","65+","110","80","25820","24890"
"Leaver CS","2021","Operational Research","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","20-29","40","30","[c]","[c]"
"Leaver CS","2021","Other","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","60-64","30","30","[c]","[c]"
"Leaver CS","2021","Other","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","20-29","120","120","25860","26350"
"Leaver CS","2021","Other","Unknown","30-39","140","130","27810","28410"
"Leaver CS","2021","Other","Unknown","40-49","140","140","30730","29930"
"Leaver CS","2021","Other","Unknown","50-59","260","250","29680","27080"
"Leaver CS","2021","Other","Unknown","60-64","240","230","30670","29200"
"Leaver CS","2021","Other","Unknown","65+","210","190","26540","21580"
"Leaver CS","2021","Planning","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Grants Management","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","No function","20-29","170","170","27820","26270"
"Leaver CS","2021","Policy","No function","30-39","140","130","43890","40050"
"Leaver CS","2021","Policy","No function","40-49","70","70","56120","53200"
"Leaver CS","2021","Policy","No function","50-59","70","60","57310","53030"
"Leaver CS","2021","Policy","No function","60-64","50","50","[c]","[c]"
"Leaver CS","2021","Policy","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","20-29","70","70","36250","33300"
"Leaver CS","2021","Policy","Unknown","30-39","60","60","46560","45780"
"Leaver CS","2021","Policy","Unknown","40-49","50","50","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","60-64","30","30","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Project Delivery","20-29","80","70","26160","25810"
"Leaver CS","2021","Project Delivery","Project Delivery","30-39","50","50","41650","38570"
"Leaver CS","2021","Project Delivery","Project Delivery","40-49","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Project Delivery","50-59","80","80","47760","40580"
"Leaver CS","2021","Project Delivery","Project Delivery","60-64","70","60","45330","40680"
"Leaver CS","2021","Project Delivery","Project Delivery","65+","60","50","37430","34160"
"Leaver CS","2021","Project Delivery","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Property","20-29","80","70","25480","24500"
"Leaver CS","2021","Property","Property","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Property","Property","40-49","30","30","[c]","[c]"
"Leaver CS","2021","Property","Property","50-59","100","90","34210","31380"
"Leaver CS","2021","Property","Property","60-64","90","80","34930","33250"
"Leaver CS","2021","Property","Property","65+","80","70","31760","32220"
"Leaver CS","2021","Property","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","No function","30-39","50","50","[c]","[c]"
"Leaver CS","2021","Psychology","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","50-59","[c]","[c]","[c]","[c]"
