"Status","Year","Ethnicity","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Unknown","400","360","41720","29290"
"Leaver CS","2022","Unknown","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Operational Delivery","550","510","31700","26130"
"Leaver CS","2022","Unknown","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Other","80","80","36560","33000"
"Leaver CS","2022","Unknown","50-59","Policy","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Unknown","440","390","46200","30040"
"Leaver CS","2022","Unknown","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Operational Delivery","280","230","29810","26660"
"Leaver CS","2022","Unknown","60-64","Other","80","70","41000","37300"
"Leaver CS","2022","Unknown","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Unknown","260","200","45330","39660"
"Leaver CS","2022","Unknown","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Operational Delivery","200","150","28910","23780"
"Leaver CS","2022","Unknown","65+","Other","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Unknown","160","110","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Operational Delivery","60","50","[c]","[c]"
"Leaver CS","2022","White","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","White","20-29","Communications","60","60","33050","31980"
"Leaver CS","2022","White","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Digital, Data and Technology","150","150","32100","30210"
"Leaver CS","2022","White","20-29","Economics","70","60","[c]","[c]"
"Leaver CS","2022","White","20-29","Finance","50","40","[c]","[c]"
"Leaver CS","2022","White","20-29","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Human Resources","60","60","27520","25400"
"Leaver CS","2022","White","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Knowledge and Information Management","40","40","[c]","[c]"
"Leaver CS","2022","White","20-29","Legal","40","40","[c]","[c]"
"Leaver CS","2022","White","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Operational Delivery","2920","2840","24330","21840"
"Leaver CS","2022","White","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Other","270","260","24260","21260"
"Leaver CS","2022","White","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Policy","240","230","35210","33570"
"Leaver CS","2022","White","20-29","Project Delivery","90","90","29750","28050"
"Leaver CS","2022","White","20-29","Property","30","30","[c]","[c]"
"Leaver CS","2022","White","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Science and Engineering","270","270","26800","26670"
"Leaver CS","2022","White","20-29","Security","50","50","[c]","[c]"
"Leaver CS","2022","White","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","20-29","Unknown","810","730","28780","25930"
"Leaver CS","2022","White","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Commercial","30","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Communications","60","50","[c]","[c]"
"Leaver CS","2022","White","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Digital, Data and Technology","170","170","41490","38020"
"Leaver CS","2022","White","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Finance","50","40","[c]","[c]"
"Leaver CS","2022","White","30-39","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Human Resources","70","60","37210","34170"
"Leaver CS","2022","White","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Knowledge and Information Management","60","50","35540","34330"
"Leaver CS","2022","White","30-39","Legal","80","80","52450","52350"
"Leaver CS","2022","White","30-39","Medicine","50","40","[c]","[c]"
"Leaver CS","2022","White","30-39","Operational Delivery","2350","2210","28660","27570"
"Leaver CS","2022","White","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Other","200","190","29080","26350"
"Leaver CS","2022","White","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Policy","210","190","45580","41990"
"Leaver CS","2022","White","30-39","Project Delivery","110","100","40430","38260"
"Leaver CS","2022","White","30-39","Property","40","40","[c]","[c]"
"Leaver CS","2022","White","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Science and Engineering","200","180","38080","36710"
"Leaver CS","2022","White","30-39","Security","70","70","30180","27710"
"Leaver CS","2022","White","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","30-39","Unknown","640","570","37570","31540"
"Leaver CS","2022","White","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","White","40-49","Communications","40","30","[c]","[c]"
"Leaver CS","2022","White","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Digital, Data and Technology","140","130","46890","42000"
"Leaver CS","2022","White","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Finance","60","50","43930","36820"
"Leaver CS","2022","White","40-49","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Human Resources","70","70","41720","38100"
"Leaver CS","2022","White","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Knowledge and Information Management","70","70","41240","39390"
"Leaver CS","2022","White","40-49","Legal","70","60","61910","55000"
"Leaver CS","2022","White","40-49","Medicine","70","60","54060","40060"
"Leaver CS","2022","White","40-49","Operational Delivery","1840","1690","30410","27570"
"Leaver CS","2022","White","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Other","210","190","32490","25000"
"Leaver CS","2022","White","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Policy","110","100","55330","54060"
"Leaver CS","2022","White","40-49","Project Delivery","70","70","48910","41040"
"Leaver CS","2022","White","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Science and Engineering","140","120","44510","40060"
"Leaver CS","2022","White","40-49","Security","50","50","31180","26670"
"Leaver CS","2022","White","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","40-49","Unknown","540","460","41030","31990"
"Leaver CS","2022","White","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","White","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Counter Fraud","40","40","[c]","[c]"
"Leaver CS","2022","White","50-59","Digital, Data and Technology","150","140","48880","44430"
"Leaver CS","2022","White","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Finance","100","90","45920","40580"
"Leaver CS","2022","White","50-59","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Human Resources","80","80","41930","38330"
"Leaver CS","2022","White","50-59","Inspector of Education and Training","40","40","[c]","[c]"
"Leaver CS","2022","White","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Knowledge and Information Management","80","70","35260","29960"
"Leaver CS","2022","White","50-59","Legal","70","60","60300","55610"
"Leaver CS","2022","White","50-59","Medicine","60","60","73100","75970"
"Leaver CS","2022","White","50-59","Operational Delivery","2980","2650","30450","27570"
"Leaver CS","2022","White","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Other","410","380","30210","23710"
"Leaver CS","2022","White","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Policy","140","130","57530","56730"
"Leaver CS","2022","White","50-59","Project Delivery","110","110","44360","40580"
"Leaver CS","2022","White","50-59","Property","60","60","37850","38910"
"Leaver CS","2022","White","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Science and Engineering","190","180","46220","43130"
"Leaver CS","2022","White","50-59","Security","160","160","35230","39070"
"Leaver CS","2022","White","50-59","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","50-59","Unknown","1060","910","38880","29660"
"Leaver CS","2022","White","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","White","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Counter Fraud","70","50","27700","27570"
"Leaver CS","2022","White","60-64","Digital, Data and Technology","110","90","43630","40580"
"Leaver CS","2022","White","60-64","Finance","120","100","42030","36460"
"Leaver CS","2022","White","60-64","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Human Resources","80","70","43210","36460"
"Leaver CS","2022","White","60-64","Inspector of Education and Training","30","30","[c]","[c]"
"Leaver CS","2022","White","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Knowledge and Information Management","40","30","[c]","[c]"
"Leaver CS","2022","White","60-64","Legal","60","50","61170","62160"
"Leaver CS","2022","White","60-64","Medicine","50","50","73070","78950"
"Leaver CS","2022","White","60-64","Operational Delivery","2120","1660","30270","27570"
"Leaver CS","2022","White","60-64","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Other","440","400","29060","22840"
"Leaver CS","2022","White","60-64","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Policy","120","110","56540","54260"
"Leaver CS","2022","White","60-64","Project Delivery","100","90","46050","40580"
"Leaver CS","2022","White","60-64","Property","80","70","40460","35480"
"Leaver CS","2022","White","60-64","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Science and Engineering","140","120","45640","43430"
"Leaver CS","2022","White","60-64","Security","110","110","37740","39070"
"Leaver CS","2022","White","60-64","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","60-64","Unknown","1010","780","46450","38730"
"Leaver CS","2022","White","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Counter Fraud","50","30","26790","27570"
"Leaver CS","2022","White","65+","Digital, Data and Technology","80","60","37220","33300"
"Leaver CS","2022","White","65+","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Finance","70","60","33250","29280"
"Leaver CS","2022","White","65+","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Human Resources","30","20","[c]","[c]"
"Leaver CS","2022","White","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","White","65+","Operational Delivery","2000","1390","26130","24660"
"Leaver CS","2022","White","65+","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Other","400","340","27050","22080"
"Leaver CS","2022","White","65+","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Policy","70","50","45830","37900"
"Leaver CS","2022","White","65+","Project Delivery","50","40","40580","38070"
"Leaver CS","2022","White","65+","Property","70","60","34450","33300"
"Leaver CS","2022","White","65+","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Science and Engineering","120","100","40090","37210"
"Leaver CS","2022","White","65+","Security","80","70","27660","25000"
"Leaver CS","2022","White","65+","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","65+","Unknown","630","440","38590","33390"
"Leaver CS","2022","White","65+","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Operational Delivery","70","70","25010","24340"
"Leaver Dept.","2021","Asian","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Policy","60","60","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","20-29","Unknown","150","140","31960","31740"
"Leaver Dept.","2021","Asian","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Operational Delivery","80","80","26410","24890"
"Leaver Dept.","2021","Asian","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","30-39","Unknown","150","140","35830","31060"
"Leaver Dept.","2021","Asian","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","40-49","Legal","[c]","[c]","[c]","[c]"
