"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","AA/AO","Declared non-disabled","Unknown","760","710","21360","21010"
"Leaver Dept.","2021","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","No function","50","50","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","No function","180","170","20790","20430"
"Leaver Dept.","2021","AA/AO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Unknown","350","330","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","No function","50","50","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Unknown","140","130","27410","27570"
"Leaver Dept.","2021","EO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","No function","270","270","25590","26390"
"Leaver Dept.","2021","EO","Declared non-disabled","Project Delivery","50","50","23800","24020"
"Leaver Dept.","2021","EO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared non-disabled","Unknown","1040","970","27400","27570"
"Leaver Dept.","2021","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Unknown","90","90","28070","27570"
"Leaver Dept.","2021","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","No function","160","160","27140","27000"
"Leaver Dept.","2021","EO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Unknown","230","190","27970","27570"
"Leaver Dept.","2021","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","No function","60","60","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Digital, Data & Technology","50","50","60120","58800"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Human Resources","60","60","57430","57750"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Legal","60","60","59530","59550"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","No function","480","460","56080","54300"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Project Delivery","80","80","57300","54730"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Unknown","440","400","58200","57010"
"Leaver Dept.","2021","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","No function","30","30","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Undeclared","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","No function","270","260","55550","53910"
"Leaver Dept.","2021","G6/G7","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Unknown","220","130","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","No function","90","90","85830","75920"
"Leaver Dept.","2021","SCS","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","No function","40","40","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","No function","130","130","33990","32620"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Unknown","120","120","36580","36280"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Analysis","90","90","36070","34400"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Communications","60","60","37650","35590"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Digital, Data & Technology","60","50","36060","35590"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Finance","50","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Human Resources","140","140","34880","33120"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","No function","730","720","34410","33100"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Project Delivery","180","180","34510","33540"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Property","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Unknown","1050","950","36030","35200"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","No function","80","80","35370","33570"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Unknown","100","100","36530","35060"
"Leaver Dept.","2021","SEO/HEO","Unknown","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Communications","50","50","37110","38440"
"Leaver Dept.","2021","SEO/HEO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","No function","820","810","33540","32120"
"Leaver Dept.","2021","SEO/HEO","Unknown","Project Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Unknown","350","250","35670","35070"
"Leaver Dept.","2021","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","No function","70","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","80","80","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","No function","180","170","21200","21260"
"Leaver Dept.","2022","AA/AO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Debt","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Grants Management","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","No function","1410","1290","21270","21260"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Unknown","510","480","22050","21680"
"Leaver Dept.","2022","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","No function","90","80","21460","21260"
"Leaver Dept.","2022","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","No function","410","380","21410","21130"
"Leaver Dept.","2022","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Unknown","290","270","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
