"Status","Year","Responsibility_level","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SEO/HEO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Security","UK Statistics Authority","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","HM Revenue and Customs (excl. agencies)","70","60","38080","37610"
"In post","2022","SEO/HEO","Social Research","Home Office","50","50","43180","43560"
"In post","2022","SEO/HEO","Social Research","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","UK Statistics Authority","520","490","34880","33710"
"In post","2022","SEO/HEO","Social Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","Welsh Government (excl. agencies)","50","50","40650","40100"
"In post","2022","SEO/HEO","Statistics","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","36250","34690"
"In post","2022","SEO/HEO","Statistics","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Department for Work and Pensions (excl. agencies)","110","110","36000","35590"
"In post","2022","SEO/HEO","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","HM Revenue and Customs (excl. agencies)","180","180","38190","37930"
"In post","2022","SEO/HEO","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Home Office","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Ministry of Defence (excl. agencies)","130","130","40110","40000"
"In post","2022","SEO/HEO","Statistics","Ministry of Justice (excl. agencies)","50","50","39430","41750"
"In post","2022","SEO/HEO","Statistics","Office for Standards in Education, Children's Services and Skills","70","60","36080","35010"
"In post","2022","SEO/HEO","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","UK Statistics Authority","340","320","35260","36840"
"In post","2022","SEO/HEO","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2022","SEO/HEO","Tax","HM Revenue and Customs (excl. agencies)","8300","7940","36100","33370"
"In post","2022","SEO/HEO","Tax","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Tax","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Accountant in Bankruptcy","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Cabinet Office (excl. agencies)","4140","4090","33790","33250"
"In post","2022","SEO/HEO","Unknown","Department for Transport (excl. agencies)","200","190","37040","35430"
"In post","2022","SEO/HEO","Unknown","Department for Work and Pensions (excl. agencies)","120","120","36460","36650"
"In post","2022","SEO/HEO","Unknown","Department of Health and Social Care (excl. agencies)","70","70","36400","33440"
"In post","2022","SEO/HEO","Unknown","Disclosure Scotland","60","60","39410","37070"
"In post","2022","SEO/HEO","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Education Scotland","70","70","42730","43000"
"In post","2022","SEO/HEO","Unknown","Food Standards Scotland","160","150","36330","34600"
"In post","2022","SEO/HEO","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","38210","37810"
"In post","2022","SEO/HEO","Unknown","Forestry and Land Scotland","250","240","41180","39520"
"In post","2022","SEO/HEO","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","HM Revenue and Customs (excl. agencies)","2010","1980","36040","33370"
"In post","2022","SEO/HEO","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","National Records of Scotland","180","170","39820","39660"
"In post","2022","SEO/HEO","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Revenue Scotland","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Scottish Forestry","70","60","41340","39520"
"In post","2022","SEO/HEO","Unknown","Scottish Government (excl. agencies)","4030","3890","39640","39660"
"In post","2022","SEO/HEO","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Scottish Public Pensions Agency","60","50","36750","36130"
"In post","2022","SEO/HEO","Unknown","Social Security Scotland","650","630","36340","34600"
"In post","2022","SEO/HEO","Unknown","Student Awards Agency for Scotland","60","60","39880","39890"
"In post","2022","SEO/HEO","Unknown","Transport Scotland","270","260","40950","39660"
"In post","2022","SEO/HEO","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Veterinarian","Animal and Plant Health Agency","220","210","39960","37480"
"In post","2022","SEO/HEO","Veterinarian","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Unknown","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2022","Unknown","Commercial","Submarine Delivery Agency","160","160","40420","37450"
"In post","2022","Unknown","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Submarine Delivery Agency","50","50","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Submarine Delivery Agency","40","30","[c]","[c]"
"In post","2022","Unknown","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","HM Prison and Probation Service","19110","17690","30030","28200"
"In post","2022","Unknown","Operational Delivery","Home Office","30","30","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Submarine Delivery Agency","320","300","33300","32710"
"In post","2022","Unknown","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Home Office","170","170","[c]","[c]"
"In post","2022","Unknown","Other","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Royal Fleet Auxiliary","1760","1760","37450","34160"
"In post","2022","Unknown","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Submarine Delivery Agency","500","490","45060","41590"
"In post","2022","Unknown","Property","FCDO Services","40","40","[c]","[c]"
"In post","2022","Unknown","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Submarine Delivery Agency","780","770","41180","39860"
"In post","2022","Unknown","Security","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","HM Prison and Probation Service","50","50","38170","37170"
"In post","2022","Unknown","Security","Ministry of Defence (excl. agencies)","90","90","29720","27370"
"In post","2022","Unknown","Security","Submarine Delivery Agency","40","30","[c]","[c]"
"In post","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Intelligence Analysis","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Animal and Plant Health Agency","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Crown Office and Procurator Fiscal Service","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Crown Prosecution Service","80","70","22070","21950"
"Leaver CS","2021","AA/AO","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Driver and Vehicle Licensing Agency","220","170","20210","21590"
"Leaver CS","2021","AA/AO","Operational Delivery","Driver and Vehicle Standards Agency","60","50","23000","21590"
"Leaver CS","2021","AA/AO","Operational Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","HM Courts and Tribunals Service","1040","890","19680","19930"
"Leaver CS","2021","AA/AO","Operational Delivery","HM Land Registry","80","70","22500","22350"
"Leaver CS","2021","AA/AO","Operational Delivery","HM Prison and Probation Service","2720","2530","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Home Office (incl. agencies)","230","170","21430","21430"
"Leaver CS","2021","AA/AO","Operational Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
