"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Finance","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","White","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","White","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Finance","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","White","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","Finance","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","White","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","White","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","White","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Human Resources","White","EO","50","50","[c]","[c]"
"Leaver Dept.","2021","Human Resources","White","G6/G7","70","60","56930","56780"
"Leaver Dept.","2021","Human Resources","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","White","SEO/HEO","140","140","35690","33640"
"Leaver Dept.","2021","Human Resources","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","White","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","White","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","White","G6/G7","60","50","58720","57840"
"Leaver Dept.","2021","Legal","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Asian","AA/AO","80","80","20460","19930"
"Leaver Dept.","2021","No function","Asian","EO","60","60","25830","26840"
"Leaver Dept.","2021","No function","Asian","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2021","No function","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Asian","SEO/HEO","110","100","35280","34550"
"Leaver Dept.","2021","No function","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Black","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","No function","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Black","SEO/HEO","60","60","35280","34140"
"Leaver Dept.","2021","No function","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Mixed","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","No function","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Mixed","SEO/HEO","60","60","34530","32910"
"Leaver Dept.","2021","No function","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","SEO/HEO","70","70","[c]","[c]"
"Leaver Dept.","2021","No function","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Unknown","AA/AO","160","160","20750","20430"
"Leaver Dept.","2021","No function","Unknown","EO","140","140","26940","26860"
"Leaver Dept.","2021","No function","Unknown","G6/G7","240","230","55660","54140"
"Leaver Dept.","2021","No function","Unknown","SCS","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Unknown","SEO/HEO","740","730","33210","32000"
"Leaver Dept.","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","White","AA/AO","350","340","20380","19930"
"Leaver Dept.","2021","No function","White","EO","240","240","25640","26000"
"Leaver Dept.","2021","No function","White","G6/G7","460","450","56160","54240"
"Leaver Dept.","2021","No function","White","SCS","90","80","90410","79660"
"Leaver Dept.","2021","No function","White","SEO/HEO","710","700","34470","33100"
"Leaver Dept.","2021","No function","White","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","White","EO","60","60","23710","23900"
"Leaver Dept.","2021","Project Delivery","White","G6/G7","90","90","58290","55240"
"Leaver Dept.","2021","Project Delivery","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","White","SEO/HEO","190","180","33970","33300"
"Leaver Dept.","2021","Project Delivery","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","AA/AO","130","130","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","EO","160","150","28440","27760"
"Leaver Dept.","2021","Unknown","Asian","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","SEO/HEO","150","140","36500","35070"
"Leaver Dept.","2021","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","AA/AO","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","EO","90","90","28200","27570"
"Leaver Dept.","2021","Unknown","Black","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","SEO/HEO","70","60","[c]","[c]"
