"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Heterosexual / straight","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","20-29","110","110","29210","28560"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","30-39","90","90","39060","34400"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","40-49","70","70","44980","42520"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","50-59","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","20-29","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","30-39","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","20-29","800","790","31940","32000"
"Leaver Dept.","2021","Heterosexual / straight","No function","30-39","730","700","40800","37210"
"Leaver Dept.","2021","Heterosexual / straight","No function","40-49","350","330","47890","42060"
"Leaver Dept.","2021","Heterosexual / straight","No function","50-59","210","200","41620","34360"
"Leaver Dept.","2021","Heterosexual / straight","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","20-29","110","110","31230","29690"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","30-39","100","100","39620","38480"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","40-49","80","80","47420","40810"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","50-59","70","70","49860","43220"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","20-29","660","640","30400","27760"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","30-39","710","670","35050","30200"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","40-49","540","510","38120","31990"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","50-59","330","320","37070","31860"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Debt","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","20-29","120","120","34140","32000"
"Leaver Dept.","2021","LGBO","No function","30-39","80","80","40080","32620"
"Leaver Dept.","2021","LGBO","No function","40-49","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","20-29","80","80","30090","27570"
"Leaver Dept.","2021","LGBO","Unknown","30-39","50","50","36090","30470"
"Leaver Dept.","2021","LGBO","Unknown","40-49","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","20-29","100","100","33890","32160"
"Leaver Dept.","2021","Undeclared","No function","30-39","80","80","42080","40600"
"Leaver Dept.","2021","Undeclared","No function","40-49","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","20-29","50","50","31950","29570"
"Leaver Dept.","2021","Undeclared","Unknown","30-39","80","80","36180","33090"
"Leaver Dept.","2021","Undeclared","Unknown","40-49","60","60","40830","34950"
"Leaver Dept.","2021","Undeclared","Unknown","50-59","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","30-39","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","20-29","750","750","32270","32000"
"Leaver Dept.","2021","Unknown","No function","30-39","390","370","40170","35710"
"Leaver Dept.","2021","Unknown","No function","40-49","160","150","47680","47880"
"Leaver Dept.","2021","Unknown","No function","50-59","110","100","42140","37670"
"Leaver Dept.","2021","Unknown","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","20-29","950","780","31320","31060"
"Leaver Dept.","2021","Unknown","Unknown","30-39","770","630","36410","31990"
"Leaver Dept.","2021","Unknown","Unknown","40-49","460","390","32670","27570"
"Leaver Dept.","2021","Unknown","Unknown","50-59","340","310","31780","27570"
"Leaver Dept.","2021","Unknown","Unknown","60-64","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","110","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","20-29","140","130","35970","34320"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","30-39","70","70","45160","42980"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","40-49","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","20-29","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","30-39","80","70","40060","40000"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","40-49","50","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","50-59","50","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","20-29","70","60","33100","33260"
"Leaver Dept.","2022","Heterosexual / straight","Communications","30-39","90","90","41310","37280"
"Leaver Dept.","2022","Heterosexual / straight","Communications","40-49","70","60","46960","40640"
"Leaver Dept.","2022","Heterosexual / straight","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","40-49","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Debt","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Debt","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Debt","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","20-29","100","100","33630","33100"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","30-39","140","130","40760","38000"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","40-49","130","120","48060","42440"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","50-59","60","60","48640","42080"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","20-29","60","60","33120","31020"
"Leaver Dept.","2022","Heterosexual / straight","Finance","30-39","90","90","40410","36580"
"Leaver Dept.","2022","Heterosexual / straight","Finance","40-49","100","90","45520","41170"
"Leaver Dept.","2022","Heterosexual / straight","Finance","50-59","70","70","43130","40190"
"Leaver Dept.","2022","Heterosexual / straight","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","20-29","150","150","30330","28000"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","30-39","160","150","37730","32330"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","40-49","130","130","40490","36540"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","50-59","90","90","43240","39390"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
