"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Asian","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Digital, Data & Technology","80","70","42780","38450"
"Leaver CS","2022","Asian","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","No function","580","540","32950","27570"
"Leaver CS","2022","Asian","Male","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Unknown","270","240","30520","27570"
"Leaver CS","2022","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","No function","640","600","31330","30190"
"Leaver CS","2022","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Unknown","170","140","29640","28670"
"Leaver CS","2022","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","No function","320","310","30700","28500"
"Leaver CS","2022","Black","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Unknown","90","80","33240","28820"
"Leaver CS","2022","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","No function","350","330","29840","27570"
"Leaver CS","2022","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Unknown","80","70","28320","26350"
"Leaver CS","2022","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","No function","210","200","30310","27570"
"Leaver CS","2022","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","No function","90","90","33360","31060"
"Leaver CS","2022","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","No function","80","70","35830","30170"
"Leaver CS","2022","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","No function","410","350","30800","27570"
"Leaver CS","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Unknown","200","160","31020","27680"
"Leaver CS","2022","Undeclared","Male","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Digital, Data & Technology","80","80","40990","36840"
"Leaver CS","2022","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","No function","440","400","35120","29230"
"Leaver CS","2022","Undeclared","Male","Project Delivery","50","50","39720","39310"
"Leaver CS","2022","Undeclared","Male","Property","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Security","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Unknown","270","230","32650","30500"
"Leaver CS","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Analysis","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Commercial","90","60","68500","64500"
"Leaver CS","2022","Unknown","Female","Communications","80","60","41300","36360"
"Leaver CS","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Digital, Data & Technology","100","80","40730","36460"
"Leaver CS","2022","Unknown","Female","Finance","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Grants Management","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Female","No function","2480","2200","28680","23780"
"Leaver CS","2022","Unknown","Female","Project Delivery","80","70","41190","37960"
"Leaver CS","2022","Unknown","Female","Property","60","50","24670","22010"
"Leaver CS","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","1480","1270","29130","27570"
"Leaver CS","2022","Unknown","Male","Analysis","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Commercial","120","100","69030","67270"
"Leaver CS","2022","Unknown","Male","Communications","60","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Digital, Data & Technology","200","180","39530","37230"
"Leaver CS","2022","Unknown","Male","Finance","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Grants Management","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","No function","2180","2020","30520","26550"
"Leaver CS","2022","Unknown","Male","Project Delivery","120","120","35510","33300"
"Leaver CS","2022","Unknown","Male","Property","70","60","29900","25420"
"Leaver CS","2022","Unknown","Male","Security","120","120","29460","26670"
"Leaver CS","2022","Unknown","Male","Unknown","1540","1420","32780","28980"
"Leaver CS","2022","White","Female","Analysis","140","120","36560","33150"
"Leaver CS","2022","White","Female","Commercial","120","100","39670","36500"
"Leaver CS","2022","White","Female","Communications","120","100","40600","37280"
"Leaver CS","2022","White","Female","Counter Fraud","150","110","28050","27570"
"Leaver CS","2022","White","Female","Debt","100","80","22500","21260"
"Leaver CS","2022","White","Female","Digital, Data & Technology","250","220","39930","35310"
"Leaver CS","2022","White","Female","Finance","160","130","37000","33000"
"Leaver CS","2022","White","Female","Grants Management","50","40","[c]","[c]"
"Leaver CS","2022","White","Female","Human Resources","300","270","35900","31390"
"Leaver CS","2022","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Female","Legal","310","270","45290","50500"
"Leaver CS","2022","White","Female","No function","9140","7840","30920","27570"
"Leaver CS","2022","White","Female","Project Delivery","330","290","37700","34290"
"Leaver CS","2022","White","Female","Property","160","140","31760","26500"
"Leaver CS","2022","White","Female","Security","130","120","31500","28890"
"Leaver CS","2022","White","Female","Unknown","3660","2980","30500","25400"
"Leaver CS","2022","White","Male","Analysis","170","150","41370","36560"
"Leaver CS","2022","White","Male","Commercial","130","120","46380","39650"
"Leaver CS","2022","White","Male","Communications","90","90","41070","37530"
"Leaver CS","2022","White","Male","Counter Fraud","110","90","31050","27570"
"Leaver CS","2022","White","Male","Debt","60","60","22770","21260"
"Leaver CS","2022","White","Male","Digital, Data & Technology","550","520","43410","40050"
"Leaver CS","2022","White","Male","Finance","150","140","43670","38880"
"Leaver CS","2022","White","Male","Grants Management","30","30","[c]","[c]"
"Leaver CS","2022","White","Male","Human Resources","140","130","37260","33300"
"Leaver CS","2022","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Male","Legal","190","180","51000","53050"
"Leaver CS","2022","White","Male","No function","6810","6310","32960","27570"
"Leaver CS","2022","White","Male","Project Delivery","590","560","40050","37240"
"Leaver CS","2022","White","Male","Property","220","210","36190","33300"
"Leaver CS","2022","White","Male","Security","460","440","33170","33300"
"Leaver CS","2022","White","Male","Unknown","3280","2900","33620","27570"
"Leaver CS","2022","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","No function","180","180","33380","30190"
"Leaver Dept.","2021","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Female","Unknown","260","240","33870","30300"
"Leaver Dept.","2021","Asian","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","No function","110","110","33290","32000"
"Leaver Dept.","2021","Asian","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Male","Unknown","220","210","31720","28830"
"Leaver Dept.","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","No function","110","100","32550","32130"
"Leaver Dept.","2021","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Female","Unknown","140","130","33770","29320"
"Leaver Dept.","2021","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","No function","40","40","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Male","Unknown","100","90","31150","28030"
"Leaver Dept.","2021","Black","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","No function","70","70","38220","33570"
"Leaver Dept.","2021","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Female","Unknown","70","70","36720","30950"
"Leaver Dept.","2021","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","No function","70","60","41880","34080"
"Leaver Dept.","2021","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Male","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
