"Status","Year","Region_ITL3","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Shropshire","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Shropshire","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Solihull","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","60-64","30","30","[c]","[c]"
"Leaver CS","2022","Somerset CC","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Somerset CC","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South and West Derbyshire","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Ayrshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","20-29","50","40","[c]","[c]"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","30-39","40","30","[c]","[c]"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","40-49","40","40","[c]","[c]"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","50-59","70","50","29350","22960"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","60-64","50","40","25370","20800"
"Leaver CS","2022","South Hampshire","Heterosexual / straight","65+","70","50","25560","21440"
"Leaver CS","2022","South Hampshire","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","50-59","30","20","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Hampshire","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","20-29","60","60","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","30-39","50","40","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","50-59","40","40","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","60-64","60","40","[c]","[c]"
"Leaver CS","2022","South Lanarkshire","Unknown","65+","40","20","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Nottinghamshire","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South Teesside","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West Wales","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southampton","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Southend-on-Sea","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","20-29","60","50","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","40-49","50","50","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","50-59","40","30","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","60-64","40","30","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Undeclared","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Staffordshire CC","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","LGBO","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Undeclared","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Stoke-on-Trent","Undeclared","40-49","[c]","[c]","[c]","[c]"
