"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","ESTYN","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign and Commonwealth Office (excl. agencies)","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Internal Audit Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Operational Delivery","220","210","22350","20650"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Operational Delivery","140","140","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Prison and Probation Service","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","Female","HM Revenue and Customs (excl. agencies)","Unknown","870","830","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Policy","50","40","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Operational Delivery","240","230","29270","24890"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Policy","110","100","50590","42410"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Home Office (incl. agencies)","Unknown","150","130","34100","29860"
"Leaver Dept.","2021","Female","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal Aid Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Maritime and Coastguard Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Maritime and Coastguard Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Maritime and Coastguard Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Met Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Other","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Project Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","110","110","43880","39600"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Operational Delivery","60","60","35400","30850"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Policy","60","60","41440","36800"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Infrastructure Commission","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Qualifications and Examinations Regulation","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Human Resources","[c]","[c]","[c]","[c]"
