"Status","Year","Responsibility_level","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","760","700","23160","22920"
"New entrant CS","2022","AA/AO","Heterosexual / straight","Declared disabled","1160","1110","21740","21260"
"New entrant CS","2022","AA/AO","Heterosexual / straight","Declared non-disabled","10880","10590","22120","21260"
"New entrant CS","2022","AA/AO","Heterosexual / straight","Undeclared","350","340","21790","21260"
"New entrant CS","2022","AA/AO","Heterosexual / straight","Unknown","860","810","21890","21260"
"New entrant CS","2022","AA/AO","LGBO","Declared disabled","300","300","21700","21260"
"New entrant CS","2022","AA/AO","LGBO","Declared non-disabled","1040","1020","21960","21260"
"New entrant CS","2022","AA/AO","LGBO","Undeclared","60","60","21480","21260"
"New entrant CS","2022","AA/AO","LGBO","Unknown","90","90","22370","21260"
"New entrant CS","2022","AA/AO","Undeclared","Declared disabled","90","80","21850","21260"
"New entrant CS","2022","AA/AO","Undeclared","Declared non-disabled","530","510","21860","21260"
"New entrant CS","2022","AA/AO","Undeclared","Undeclared","130","120","21840","21260"
"New entrant CS","2022","AA/AO","Undeclared","Unknown","60","60","21590","21260"
"New entrant CS","2022","AA/AO","Unknown","Declared disabled","70","60","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Declared non-disabled","850","820","21010","21300"
"New entrant CS","2022","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Unknown","7650","7410","22130","21260"
"New entrant CS","2022","EO","Heterosexual / straight","Declared disabled","840","810","27300","27570"
"New entrant CS","2022","EO","Heterosexual / straight","Declared non-disabled","7430","7270","27180","27570"
"New entrant CS","2022","EO","Heterosexual / straight","Undeclared","270","260","27190","27570"
"New entrant CS","2022","EO","Heterosexual / straight","Unknown","1090","1060","27630","26880"
"New entrant CS","2022","EO","LGBO","Declared disabled","230","220","27140","27570"
"New entrant CS","2022","EO","LGBO","Declared non-disabled","650","640","26910","27230"
"New entrant CS","2022","EO","LGBO","Undeclared","60","60","26940","27570"
"New entrant CS","2022","EO","LGBO","Unknown","120","120","27320","27130"
"New entrant CS","2022","EO","Undeclared","Declared disabled","90","80","27170","27570"
"New entrant CS","2022","EO","Undeclared","Declared non-disabled","370","360","26880","27230"
"New entrant CS","2022","EO","Undeclared","Undeclared","100","90","27470","27570"
"New entrant CS","2022","EO","Undeclared","Unknown","250","170","26870","27270"
"New entrant CS","2022","EO","Unknown","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2022","EO","Unknown","Declared non-disabled","200","200","25550","25010"
"New entrant CS","2022","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Unknown","Unknown","4490","4330","26980","26590"
"New entrant CS","2022","G6/G7","Heterosexual / straight","Declared disabled","190","180","55530","53420"
"New entrant CS","2022","G6/G7","Heterosexual / straight","Declared non-disabled","2140","2090","55900","53480"
"New entrant CS","2022","G6/G7","Heterosexual / straight","Undeclared","60","60","54400","52630"
"New entrant CS","2022","G6/G7","Heterosexual / straight","Unknown","360","350","56880","53480"
"New entrant CS","2022","G6/G7","LGBO","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","LGBO","Declared non-disabled","160","160","56760","54050"
"New entrant CS","2022","G6/G7","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Declared non-disabled","140","130","55420","53240"
"New entrant CS","2022","G6/G7","Undeclared","Undeclared","50","50","55900","54270"
"New entrant CS","2022","G6/G7","Undeclared","Unknown","120","80","55510","53360"
"New entrant CS","2022","G6/G7","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Declared non-disabled","80","80","52060","49860"
"New entrant CS","2022","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Unknown","1150","1110","59530","57190"
"New entrant CS","2022","SCS","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Heterosexual / straight","Declared non-disabled","150","140","94270","88790"
"New entrant CS","2022","SCS","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Unknown","120","120","101230","87210"
"New entrant CS","2022","SEO/HEO","Heterosexual / straight","Declared disabled","640","620","34580","33080"
"New entrant CS","2022","SEO/HEO","Heterosexual / straight","Declared non-disabled","6650","6530","35420","33570"
"New entrant CS","2022","SEO/HEO","Heterosexual / straight","Undeclared","250","250","35070","34020"
"New entrant CS","2022","SEO/HEO","Heterosexual / straight","Unknown","1120","1080","35850","36500"
"New entrant CS","2022","SEO/HEO","LGBO","Declared disabled","200","200","34130","33210"
"New entrant CS","2022","SEO/HEO","LGBO","Declared non-disabled","650","650","34760","33210"
"New entrant CS","2022","SEO/HEO","LGBO","Undeclared","40","40","[c]","[c]"
"New entrant CS","2022","SEO/HEO","LGBO","Unknown","130","120","35290","34600"
"New entrant CS","2022","SEO/HEO","Undeclared","Declared disabled","90","90","34730","33700"
"New entrant CS","2022","SEO/HEO","Undeclared","Declared non-disabled","430","410","35210","34020"
"New entrant CS","2022","SEO/HEO","Undeclared","Undeclared","160","150","35560","34260"
"New entrant CS","2022","SEO/HEO","Undeclared","Unknown","380","230","35350","33000"
"New entrant CS","2022","SEO/HEO","Unknown","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Unknown","Declared non-disabled","350","340","31470","29270"
"New entrant CS","2022","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Unknown","Unknown","3750","3680","34340","33080"
"New entrant CS","2022","Unknown","Heterosexual / straight","Declared disabled","960","900","29490","27610"
"New entrant CS","2022","Unknown","Heterosexual / straight","Declared non-disabled","3760","3520","28910","25500"
"New entrant CS","2022","Unknown","Heterosexual / straight","Undeclared","190","180","29960","27980"
"New entrant CS","2022","Unknown","Heterosexual / straight","Unknown","170","150","27710","24800"
"New entrant CS","2022","Unknown","LGBO","Declared disabled","120","120","28870","24890"
"New entrant CS","2022","Unknown","LGBO","Declared non-disabled","270","260","28800","24800"
"New entrant CS","2022","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Declared disabled","80","70","29900","28410"
"New entrant CS","2022","Unknown","Undeclared","Declared non-disabled","150","140","30160","27060"
"New entrant CS","2022","Unknown","Undeclared","Undeclared","70","70","33020","29900"
"New entrant CS","2022","Unknown","Undeclared","Unknown","30","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Unknown","3370","3040","27710","26310"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
