"Status","Year","Parent_department","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Scottish Government","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Mixed","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","White","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","White","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Asian","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Black","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Mixed","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","White","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","White","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Asian","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Black","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Chinese","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Mixed","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","White","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Asian","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Asian","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Black","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Black","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Chinese","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Mixed","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Mixed","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","White","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","White","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","White","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","White","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","White","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Asian","Commercial","[c]","[c]","[c]","[c]"
