"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Project Delivery","UK Space Agency","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Valuation Office Agency","90","80","27740","22040"
"Leaver CS","2022","Unknown","Security","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Ministry of Defence (excl. agencies)","110","110","28870","25540"
"Leaver CS","2022","Unknown","Security","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","700","650","26170","27570"
"Leaver CS","2022","Unknown","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","200","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Forestry and Land Scotland","90","80","29650","27360"
"Leaver CS","2022","Unknown","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","4530","3830","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Home Office","320","310","30960","27370"
"Leaver CS","2022","Unknown","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","250","230","31570","29670"
"Leaver CS","2022","Unknown","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Royal Fleet Auxiliary","240","240","36010","33270"
"Leaver CS","2022","Unknown","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Government (excl. agencies)","210","190","38070","31540"
"Leaver CS","2022","Unknown","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Space Agency","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
