"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Ministry of Justice","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Female","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Operational Delivery","320","310","26270","22100"
"Leaver Dept.","2021","Ministry of Justice","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Justice","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Operational Delivery","60","50","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Legal","60","50","59970","58990"
"Leaver Dept.","2022","Attorney General's Departments","Female","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Other","30","30","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Female","Unknown","1000","990","41870","34550"
"Leaver Dept.","2022","Cabinet Office","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Finance","[c]","[c]","[c]","[c]"
