"Status","Year","Responsibility_level","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","EO","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Animal and Plant Health Agency","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2022","EO","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Criminal Injuries Compensation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Criminal Injuries Compensation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Office and Procurator Fiscal Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Office and Procurator Fiscal Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Electronics and Components Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Declared non-disabled","190","180","22320","20990"
"Leaver CS","2022","EO","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Unknown","80","80","19800","19460"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Unknown","70","70","26300","25000"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Unknown","60","60","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Declared disabled","690","580","28050","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Declared non-disabled","3160","2770","28280","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Undeclared","140","130","28350","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Unknown","500","480","28110","27570"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2022","EO","Disclosure Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Disclosure Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Standards Agency","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Standards Agency","Declared non-disabled","150","120","28000","26780"
"Leaver CS","2022","EO","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Standards Agency","Unknown","90","90","26480","26130"
"Leaver CS","2022","EO","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Education Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Education Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Estyn","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Estyn","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","FCDO Services","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","FCDO Services","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Forestry and Land Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Forestry and Land Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Actuary's Department","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Legal Department","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Legal Department","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2022","EO","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Health and Safety Executive","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Courts and Tribunals Service","Declared non-disabled","130","120","25420","25120"
"Leaver CS","2022","EO","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Courts and Tribunals Service","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","EO","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Land Registry","Declared non-disabled","70","50","27730","27130"
"Leaver CS","2022","EO","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Prison and Probation Service","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2022","EO","HM Prison and Probation Service","Declared non-disabled","280","260","[c]","[c]"
"Leaver CS","2022","EO","HM Prison and Probation Service","Undeclared","100","90","[c]","[c]"
"Leaver CS","2022","EO","HM Prison and Probation Service","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","EO","HM Revenue and Customs (excl. agencies)","Declared disabled","80","70","[c]","[c]"
"Leaver CS","2022","EO","HM Revenue and Customs (excl. agencies)","Declared non-disabled","490","400","[c]","[c]"
"Leaver CS","2022","EO","HM Revenue and Customs (excl. agencies)","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","EO","HM Revenue and Customs (excl. agencies)","Unknown","280","240","[c]","[c]"
"Leaver CS","2022","EO","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Treasury (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Home Office","Declared disabled","80","60","27450","27300"
"Leaver CS","2022","EO","Home Office","Declared non-disabled","590","480","27560","27240"
"Leaver CS","2022","EO","Home Office","Undeclared","50","30","[c]","[c]"
"Leaver CS","2022","EO","Home Office","Unknown","140","130","26870","24890"
"Leaver CS","2022","EO","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Institute for Apprenticeships and Technical Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Intellectual Property Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Intellectual Property Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Medicines and Healthcare Products Regulatory Agency","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","EO","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Met Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Ministry of Defence (excl. agencies)","Declared disabled","70","60","28210","26670"
"Leaver CS","2022","EO","Ministry of Defence (excl. agencies)","Declared non-disabled","390","360","29200","26930"
"Leaver CS","2022","EO","Ministry of Defence (excl. agencies)","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","EO","Ministry of Defence (excl. agencies)","Unknown","120","120","28030","27750"
"Leaver CS","2022","EO","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Ministry of Justice (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","EO","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Crime Agency","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","EO","National Crime Agency","Unknown","90","90","33310","32770"
"Leaver CS","2022","EO","National Infrastructure Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Infrastructure Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Records of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Records of Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","National Savings and Investments","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Gas and Electricity Markets","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","EO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Public Guardian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Public Guardian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Public Guardian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Planning Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Public Health England","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Public Health England","Declared non-disabled","170","160","25040","24680"
"Leaver CS","2022","EO","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Public Health England","Unknown","60","50","26430","26170"
"Leaver CS","2022","EO","Queen Elizabeth II Centre","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Queen Elizabeth II Centre","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Registers of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Registers of Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Rural Payments Agency","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","EO","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Forestry","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Forestry","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Government (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Government (excl. agencies)","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","EO","Scottish Housing Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Housing Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Prison Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Prison Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Prison Service","Unknown","110","100","34250","35000"
"Leaver CS","2022","EO","Scottish Public Pensions Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Public Pensions Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Serious Fraud Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Serious Fraud Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Serious Fraud Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Social Security Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Social Security Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Social Security Scotland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Student Awards Agency for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Student Awards Agency for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Teaching Regulation Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Teaching Regulation Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The Insolvency Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Health Security Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Health Security Agency","Declared non-disabled","70","70","25290","25010"
"Leaver CS","2022","EO","UK Health Security Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Hydrographic Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Hydrographic Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Hydrographic Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Space Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Space Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Statistics Authority","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","EO","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
