"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Undeclared","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Operational Delivery","Declared disabled","250","200","26280","26120"
"Leaver CS","2022","Undeclared","Operational Delivery","Declared non-disabled","1000","820","28870","26780"
"Leaver CS","2022","Undeclared","Operational Delivery","Undeclared","310","270","29760","27370"
"Leaver CS","2022","Undeclared","Operational Delivery","Unknown","150","100","36040","30320"
"Leaver CS","2022","Undeclared","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Other","Declared disabled","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Other","Declared non-disabled","130","120","28000","22580"
"Leaver CS","2022","Undeclared","Other","Undeclared","60","50","29930","22590"
"Leaver CS","2022","Undeclared","Other","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Policy","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2022","Undeclared","Policy","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Policy","Unknown","140","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Science and Engineering","Declared non-disabled","90","80","35870","33740"
"Leaver CS","2022","Undeclared","Science and Engineering","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Tax","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Declared non-disabled","90","80","35970","30290"
"Leaver CS","2022","Undeclared","Unknown","Undeclared","50","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Unknown","80","70","39920","34540"
"Leaver CS","2022","Unknown","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Declared non-disabled","60","40","28930","27570"
"Leaver CS","2022","Unknown","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Declared non-disabled","60","60","43600","38070"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","Unknown","270","270","40480","37290"
"Leaver CS","2022","Unknown","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Economics","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Unknown","70","70","32700","28110"
"Leaver CS","2022","Unknown","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Unknown","70","70","29200","26900"
"Leaver CS","2022","Unknown","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","International Trade","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","Unknown","80","70","36900","31250"
"Leaver CS","2022","Unknown","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Declared non-disabled","50","40","62040","59660"
"Leaver CS","2022","Unknown","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Unknown","60","50","55960","55000"
"Leaver CS","2022","Unknown","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","Unknown","70","60","55950","40000"
"Leaver CS","2022","Unknown","Operational Delivery","Declared disabled","130","100","26940","26700"
"Leaver CS","2022","Unknown","Operational Delivery","Declared non-disabled","1120","870","27060","25110"
"Leaver CS","2022","Unknown","Operational Delivery","Undeclared","230","170","28840","25650"
"Leaver CS","2022","Unknown","Operational Delivery","Unknown","3740","3510","28560","23780"
"Leaver CS","2022","Unknown","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Declared non-disabled","120","110","34780","26120"
"Leaver CS","2022","Unknown","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","Unknown","570","550","33070","30600"
"Leaver CS","2022","Unknown","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","Unknown","270","260","42090","36790"
"Leaver CS","2022","Unknown","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Unknown","70","70","39230","38300"
"Leaver CS","2022","Unknown","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Unknown","60","60","28910","25000"
"Leaver CS","2022","Unknown","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Declared non-disabled","130","120","35030","33490"
"Leaver CS","2022","Unknown","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","Unknown","110","100","38230","33130"
"Leaver CS","2022","Unknown","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Unknown","100","100","28790","25460"
"Leaver CS","2022","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Declared disabled","460","350","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Declared non-disabled","2760","2210","33640","27570"
"Leaver CS","2022","Unknown","Unknown","Undeclared","260","220","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","3050","2690","35920","27570"
"Leaver CS","2022","Unknown","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Declared non-disabled","80","80","37200","34800"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Declared non-disabled","90","80","46360","42780"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data and Technology","Declared non-disabled","80","80","44560","38040"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Economics","Declared non-disabled","60","60","42940","37150"
"Leaver Dept.","2021","Heterosexual / straight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Declared non-disabled","130","130","47140","45540"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Declared non-disabled","160","150","38610","33600"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Declared non-disabled","60","50","53220","52990"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","Declared disabled","130","120","28450","24470"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","Declared non-disabled","1050","1020","29110","24890"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","Undeclared","60","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","Unknown","60","60","33100","30740"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","Declared non-disabled","170","170","36690","30310"
"Leaver Dept.","2021","Heterosexual / straight","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","Declared disabled","70","70","41510","36800"
"Leaver Dept.","2021","Heterosexual / straight","Policy","Declared non-disabled","720","700","45640","40640"
"Leaver Dept.","2021","Heterosexual / straight","Policy","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Declared non-disabled","230","230","41530","37490"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","Declared non-disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","Declared non-disabled","70","70","36580","33200"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","Declared non-disabled","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Declared disabled","240","230","34720","32000"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Declared non-disabled","1640","1560","35940","31990"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Undeclared","70","70","35230","31100"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
