"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Operational Delivery","180","170","26020","22570"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Operational Delivery","70","60","24300","22570"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Commercial","250","240","34760","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Digital, Data and Technology","80","80","42190","38600"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Operational Delivery","130","130","42190","37110"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Commercial","90","90","31730","30150"
"In post","2021","Crown Commercial Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Legal","480","450","54190","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Operational Delivery","1120","1030","26430","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Operational Delivery","50","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Legal","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Operational Delivery","50","50","25210","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Legal","50","50","60180","59480"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Operational Delivery","50","50","25740","22220"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Communications","50","50","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Digital, Data and Technology","100","90","39780","38180"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Finance","90","80","33050","30370"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Human Resources","120","120","40840","34160"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Legal","2170","2030","54420","54200"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Operational Delivery","2180","2020","27580","25480"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Policy","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Legal","100","100","57040","55610"
"In post","2021","Crown Prosecution Service","LGBO","Operational Delivery","140","130","28400","25820"
"In post","2021","Crown Prosecution Service","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Legal","100","90","54430","54290"
"In post","2021","Crown Prosecution Service","Undeclared","Operational Delivery","80","80","25920","24060"
"In post","2021","Crown Prosecution Service","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Legal","820","740","56260","55610"
"In post","2021","Crown Prosecution Service","Unknown","Operational Delivery","660","590","26230","25820"
"In post","2021","Crown Prosecution Service","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Legal","[c]","[c]","[c]","[c]"
