"Status","Year","Function_of_post","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Declared disabled","LGBO","90","80","29920","27570"
"Leaver CS","2021","Unknown","Declared disabled","Undeclared","120","100","28190","27370"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","740","590","26000","26890"
"Leaver CS","2021","Unknown","Declared non-disabled","Heterosexual / straight","3810","3350","29910","26890"
"Leaver CS","2021","Unknown","Declared non-disabled","LGBO","170","160","31260","27150"
"Leaver CS","2021","Unknown","Declared non-disabled","Undeclared","430","370","32010","27570"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","3780","3020","27980","26890"
"Leaver CS","2021","Unknown","Undeclared","Heterosexual / straight","160","150","28710","26890"
"Leaver CS","2021","Unknown","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Undeclared","120","100","29590","27450"
"Leaver CS","2021","Unknown","Undeclared","Unknown","430","360","35660","29930"
"Leaver CS","2021","Unknown","Unknown","Heterosexual / straight","230","210","35420","32670"
"Leaver CS","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","3380","2890","31870","27570"
"Leaver CS","2022","Analysis","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared non-disabled","Heterosexual / straight","200","180","38680","35010"
"Leaver CS","2022","Analysis","Declared non-disabled","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared non-disabled","Unknown","50","50","43280","36630"
"Leaver CS","2022","Analysis","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Unknown","90","80","34060","30710"
"Leaver CS","2022","Commercial","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","Heterosexual / straight","170","160","43880","38990"
"Leaver CS","2022","Commercial","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Heterosexual / straight","50","30","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Unknown","160","160","69550","65000"
"Leaver CS","2022","Communications","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","Heterosexual / straight","160","150","40940","37510"
"Leaver CS","2022","Communications","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Unknown","100","100","43470","39370"
"Leaver CS","2022","Counter Fraud","Declared disabled","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","Heterosexual / straight","160","130","30190","27570"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","Unknown","60","40","28950","27570"
"Leaver CS","2022","Counter Fraud","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared non-disabled","Heterosexual / straight","110","100","22660","21260"
"Leaver CS","2022","Debt","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","Heterosexual / straight","80","70","39240","35360"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Heterosexual / straight","600","570","43430","40020"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","LGBO","50","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Undeclared","100","90","38720","36010"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Unknown","60","50","45360","38450"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Heterosexual / straight","90","80","42090","37290"
"Leaver CS","2022","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Unknown","270","260","38370","35950"
"Leaver CS","2022","Finance","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared non-disabled","Heterosexual / straight","250","230","40280","35390"
"Leaver CS","2022","Finance","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Heterosexual / straight","40","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Undeclared","40","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared non-disabled","Heterosexual / straight","50","50","25370","24920"
"Leaver CS","2022","Grants Management","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared non-disabled","Unknown","90","80","23000","21300"
"Leaver CS","2022","Human Resources","Declared disabled","Heterosexual / straight","70","60","33920","29500"
"Leaver CS","2022","Human Resources","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared non-disabled","Heterosexual / straight","350","330","37240","33300"
"Leaver CS","2022","Human Resources","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Unknown","80","80","30620","27320"
"Leaver CS","2022","Internal Audit","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared non-disabled","Heterosexual / straight","350","310","46820","50500"
"Leaver CS","2022","Legal","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared non-disabled","Unknown","80","60","51120","55200"
"Leaver CS","2022","Legal","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Heterosexual / straight","100","90","37480","38000"
"Leaver CS","2022","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Unknown","70","70","48570","50690"
"Leaver CS","2022","No function","Declared disabled","Heterosexual / straight","1970","1710","28790","27570"
"Leaver CS","2022","No function","Declared disabled","LGBO","310","300","28320","27570"
"Leaver CS","2022","No function","Declared disabled","Undeclared","250","210","27100","26780"
"Leaver CS","2022","No function","Declared disabled","Unknown","150","120","29640","27570"
"Leaver CS","2022","No function","Declared non-disabled","Heterosexual / straight","11800","10760","31860","27570"
"Leaver CS","2022","No function","Declared non-disabled","LGBO","870","830","30710","27570"
"Leaver CS","2022","No function","Declared non-disabled","Undeclared","1080","920","31270","27570"
"Leaver CS","2022","No function","Declared non-disabled","Unknown","1230","970","30120","27570"
"Leaver CS","2022","No function","Undeclared","Heterosexual / straight","630","550","28660","26300"
"Leaver CS","2022","No function","Undeclared","LGBO","80","80","[c]","[c]"
"Leaver CS","2022","No function","Undeclared","Undeclared","360","320","34020","27880"
"Leaver CS","2022","No function","Undeclared","Unknown","240","190","[c]","[c]"
"Leaver CS","2022","No function","Unknown","Heterosexual / straight","760","650","36160","32310"
"Leaver CS","2022","No function","Unknown","LGBO","60","50","[c]","[c]"
"Leaver CS","2022","No function","Unknown","Undeclared","330","160","41790","36340"
"Leaver CS","2022","No function","Unknown","Unknown","4360","4090","31250","26130"
"Leaver CS","2022","Project Delivery","Declared disabled","Heterosexual / straight","100","90","38300","34870"
"Leaver CS","2022","Project Delivery","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared non-disabled","Heterosexual / straight","730","680","39270","35620"
"Leaver CS","2022","Project Delivery","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared non-disabled","Undeclared","60","50","39040","39600"
"Leaver CS","2022","Project Delivery","Declared non-disabled","Unknown","60","60","41540","38260"
"Leaver CS","2022","Project Delivery","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Unknown","180","170","38770","33610"
"Leaver CS","2022","Property","Declared disabled","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Property","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","Heterosexual / straight","290","270","34550","32940"
"Leaver CS","2022","Property","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Unknown","130","120","26960","22040"
"Leaver CS","2022","Security","Declared disabled","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Heterosexual / straight","400","380","32370","29250"
"Leaver CS","2022","Security","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Heterosexual / straight","70","70","33330","39070"
"Leaver CS","2022","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Unknown","140","130","29110","26540"
"Leaver CS","2022","Unknown","Declared disabled","Heterosexual / straight","440","380","29420","26100"
"Leaver CS","2022","Unknown","Declared disabled","LGBO","50","50","28970","27570"
"Leaver CS","2022","Unknown","Declared disabled","Undeclared","80","60","30170","27370"
"Leaver CS","2022","Unknown","Declared disabled","Unknown","470","360","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Heterosexual / straight","3050","2720","32170","27250"
"Leaver CS","2022","Unknown","Declared non-disabled","LGBO","130","120","30480","24890"
"Leaver CS","2022","Unknown","Declared non-disabled","Undeclared","320","270","32390","28260"
"Leaver CS","2022","Unknown","Declared non-disabled","Unknown","2780","2230","31870","27570"
"Leaver CS","2022","Unknown","Undeclared","Heterosexual / straight","130","120","29080","25350"
"Leaver CS","2022","Unknown","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Undeclared","140","120","33510","30500"
"Leaver CS","2022","Unknown","Undeclared","Unknown","250","210","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","270","250","35230","28980"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Undeclared","90","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","3250","2890","31070","27570"
"Leaver Dept.","2021","Analysis","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Heterosexual / straight","140","140","42320","37790"
"Leaver Dept.","2021","Analysis","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Heterosexual / straight","60","60","40980","39350"
"Leaver Dept.","2021","Commercial","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Heterosexual / straight","80","80","45090","40850"
"Leaver Dept.","2021","Communications","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Unknown","60","60","40580","38540"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","Heterosexual / straight","100","100","45200","40600"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
