"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Chinese","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Unknown","80","80","38040","32610"
"Leaver Dept.","2021","Mixed","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Policy","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Unknown","70","60","35620","31990"
"Leaver Dept.","2021","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Communications","50","50","41870","39660"
"Leaver Dept.","2021","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","International Trade","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Operational Delivery","330","320","27320","22680"
"Leaver Dept.","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Policy","530","520","41430","36850"
"Leaver Dept.","2021","Unknown","Unknown","Project Delivery","70","70","41020","37250"
"Leaver Dept.","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","1640","1390","36000","32000"
"Leaver Dept.","2021","White","Heterosexual / straight","Commercial","100","100","38370","37280"
"Leaver Dept.","2021","White","Heterosexual / straight","Communications","90","90","45340","42710"
"Leaver Dept.","2021","White","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Digital, Data and Technology","80","80","44550","36780"
"Leaver Dept.","2021","White","Heterosexual / straight","Economics","60","60","41560","34690"
"Leaver Dept.","2021","White","Heterosexual / straight","Finance","100","100","49450","49430"
"Leaver Dept.","2021","White","Heterosexual / straight","Human Resources","170","160","40110","36030"
"Leaver Dept.","2021","White","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Intelligence Analysis","30","30","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","International Trade","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Legal","60","50","52730","52990"
"Leaver Dept.","2021","White","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Operational Delivery","920","890","29630","24880"
"Leaver Dept.","2021","White","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Other","160","160","37220","31140"
"Leaver Dept.","2021","White","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
