"Status","Year","Sexual_orientation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Unknown","Analysis","90","90","30650","25730"
"Leaver CS","2021","Unknown","Unknown","Commercial","80","80","61020","57710"
"Leaver CS","2021","Unknown","Unknown","Communications","70","70","37000","35600"
"Leaver CS","2021","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Digital, Data & Technology","150","140","40590","37540"
"Leaver CS","2021","Unknown","Unknown","Finance","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Grants Management","90","80","24950","21050"
"Leaver CS","2021","Unknown","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Legal","80","70","46270","44640"
"Leaver CS","2021","Unknown","Unknown","No function","2220","2100","30010","24250"
"Leaver CS","2021","Unknown","Unknown","Project Delivery","120","110","33870","28650"
"Leaver CS","2021","Unknown","Unknown","Property","140","120","26450","24500"
"Leaver CS","2021","Unknown","Unknown","Security","110","110","26910","24230"
"Leaver CS","2021","Unknown","Unknown","Unknown","3380","2890","31870","27570"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Digital, Data & Technology","80","70","39240","35360"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Human Resources","70","60","33920","29500"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Legal","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","No function","1970","1710","28790","27570"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Project Delivery","100","90","38300","34870"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Property","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Security","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","Unknown","440","380","29420","26100"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Analysis","200","180","38680","35010"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Commercial","170","160","43880","38990"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Communications","160","150","40940","37510"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Counter Fraud","160","130","30190","27570"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Debt","110","100","22660","21260"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","600","570","43430","40020"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Finance","250","230","40280","35390"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Grants Management","50","50","25370","24920"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Human Resources","350","330","37240","33300"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Internal Audit","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Legal","350","310","46820","50500"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","No function","11800","10760","31860","27570"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Project Delivery","730","680","39270","35620"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Property","290","270","34550","32940"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Security","400","380","32370","29250"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","Unknown","3050","2720","32170","27250"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","No function","630","550","28660","26300"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Undeclared","Unknown","130","120","29080","25350"
"Leaver CS","2022","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Commercial","50","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Communications","30","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Digital, Data & Technology","90","80","42090","37290"
"Leaver CS","2022","Heterosexual / straight","Unknown","Finance","40","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Legal","100","90","37480","38000"
"Leaver CS","2022","Heterosexual / straight","Unknown","No function","760","650","36160","32310"
"Leaver CS","2022","Heterosexual / straight","Unknown","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Security","70","70","33330","39070"
"Leaver CS","2022","Heterosexual / straight","Unknown","Unknown","270","250","35230","28980"
"Leaver CS","2022","LGBO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","No function","310","300","28320","27570"
"Leaver CS","2022","LGBO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared disabled","Unknown","50","50","28970","27570"
"Leaver CS","2022","LGBO","Declared non-disabled","Analysis","30","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","No function","870","830","30710","27570"
"Leaver CS","2022","LGBO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Declared non-disabled","Unknown","130","120","30480","24890"
"Leaver CS","2022","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","No function","80","80","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","No function","60","50","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","No function","250","210","27100","26780"
"Leaver CS","2022","Undeclared","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Unknown","80","60","30170","27370"
"Leaver CS","2022","Undeclared","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Counter Fraud","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Digital, Data & Technology","100","90","38720","36010"
"Leaver CS","2022","Undeclared","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","No function","1080","920","31270","27570"
"Leaver CS","2022","Undeclared","Declared non-disabled","Project Delivery","60","50","39040","39600"
"Leaver CS","2022","Undeclared","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Security","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Unknown","320","270","32390","28260"
"Leaver CS","2022","Undeclared","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","No function","360","320","34020","27880"
"Leaver CS","2022","Undeclared","Undeclared","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Unknown","140","120","33510","30500"
"Leaver CS","2022","Undeclared","Unknown","Analysis","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Commercial","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Digital, Data & Technology","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Finance","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","No function","330","160","41790","36340"
"Leaver CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","90","40","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","No function","150","120","29640","27570"
"Leaver CS","2022","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Unknown","470","360","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Analysis","50","50","43280","36630"
"Leaver CS","2022","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Counter Fraud","60","40","28950","27570"
"Leaver CS","2022","Unknown","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Digital, Data & Technology","60","50","45360","38450"
"Leaver CS","2022","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Grants Management","90","80","23000","21300"
"Leaver CS","2022","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Legal","80","60","51120","55200"
"Leaver CS","2022","Unknown","Declared non-disabled","No function","1230","970","30120","27570"
"Leaver CS","2022","Unknown","Declared non-disabled","Project Delivery","60","60","41540","38260"
"Leaver CS","2022","Unknown","Declared non-disabled","Property","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Unknown","2780","2230","31870","27570"
"Leaver CS","2022","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","No function","240","190","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Unknown","250","210","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Analysis","90","80","34060","30710"
"Leaver CS","2022","Unknown","Unknown","Commercial","160","160","69550","65000"
"Leaver CS","2022","Unknown","Unknown","Communications","100","100","43470","39370"
"Leaver CS","2022","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data & Technology","270","260","38370","35950"
"Leaver CS","2022","Unknown","Unknown","Finance","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Human Resources","80","80","30620","27320"
"Leaver CS","2022","Unknown","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Legal","70","70","48570","50690"
"Leaver CS","2022","Unknown","Unknown","No function","4360","4090","31250","26130"
"Leaver CS","2022","Unknown","Unknown","Project Delivery","180","170","38770","33610"
"Leaver CS","2022","Unknown","Unknown","Property","130","120","26960","22040"
"Leaver CS","2022","Unknown","Unknown","Security","140","130","29110","26540"
"Leaver CS","2022","Unknown","Unknown","Unknown","3250","2890","31070","27570"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","No function","220","210","35100","32000"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","Unknown","230","220","33760","28630"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Analysis","140","140","42320","37790"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Commercial","60","60","40980","39350"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Communications","80","80","45090","40850"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","100","100","45200","40600"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Finance","110","110","46200","43320"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Human Resources","250","240","37480","32000"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Legal","100","100","42030","35330"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","No function","1660","1610","38570","32910"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Project Delivery","290","280","40860","35810"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Property","60","60","40360","33960"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","Unknown","1940","1850","34700","29860"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","No function","100","90","34120","32000"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","Unknown","80","80","34680","30200"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","No function","130","130","43980","38400"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
