"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Heterosexual / straight","No function","International Trade","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Knowledge and Information Management","230","210","34420","29960"
"Leaver CS","2022","Heterosexual / straight","No function","Medicine","100","90","88580","95140"
"Leaver CS","2022","Heterosexual / straight","No function","Operational Delivery","11990","10790","28440","27570"
"Leaver CS","2022","Heterosexual / straight","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Other","440","410","33080","27570"
"Leaver CS","2022","Heterosexual / straight","No function","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Policy","710","630","45740","40220"
"Leaver CS","2022","Heterosexual / straight","No function","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Psychology","70","70","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Science and Engineering","620","570","38910","37190"
"Leaver CS","2022","Heterosexual / straight","No function","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","No function","Unknown","640","580","48390","42890"
"Leaver CS","2022","Heterosexual / straight","No function","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Operational Delivery","50","50","35610","33180"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Other","130","130","29540","25030"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Project Delivery","440","410","41050","38070"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Science and Engineering","180","170","36880","35140"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Operational Delivery","60","50","22040","22010"
"Leaver CS","2022","Heterosexual / straight","Property","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Property","270","250","35380","33300"
"Leaver CS","2022","Heterosexual / straight","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Intelligence Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Security","Security","460","440","31860","28750"
"Leaver CS","2022","Heterosexual / straight","Security","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Digital, Data and Technology","70","70","53780","45620"
"Leaver CS","2022","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Finance","140","130","37260","33300"
"Leaver CS","2022","Heterosexual / straight","Unknown","Human Resources","40","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Intelligence Analysis","50","40","28410","27370"
"Leaver CS","2022","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Medicine","200","170","42670","39030"
"Leaver CS","2022","Heterosexual / straight","Unknown","Operational Delivery","1110","890","28280","25310"
"Leaver CS","2022","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Other","1010","940","26240","21660"
"Leaver CS","2022","Heterosexual / straight","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Policy","180","160","48910","41970"
"Leaver CS","2022","Heterosexual / straight","Unknown","Project Delivery","50","50","46930","41310"
"Leaver CS","2022","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Science and Engineering","140","140","35870","33000"
"Leaver CS","2022","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Unknown","820","750","32700","27570"
"Leaver CS","2022","Heterosexual / straight","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Debt","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Debt","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Digital, Data and Technology","60","50","38740","35830"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Grants Management","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Operational Delivery","1020","980","27320","27570"
"Leaver CS","2022","LGBO","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Other","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Policy","90","90","40060","34020"
"Leaver CS","2022","LGBO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Unknown","60","60","[c]","[c]"
"Leaver CS","2022","LGBO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Operational Delivery","50","40","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Other","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Unknown","80","70","29500","27570"
"Leaver CS","2022","LGBO","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","Commercial","70","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","Communications","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Debt","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Digital, Data and Technology","160","120","39610","37190"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","Finance","90","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","Human Resources","50","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
