"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Communications","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Ministry of Defence","50","50","39480","36600"
"Leaver CS","2021","Finance","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","National Crime Agency","[c]","[c]","[c]","[c]"
