"Status","Year","Region_ITL3","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","West Cumbria","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Cumbria","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Essex","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Kent","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","30-39","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","West Lothian","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","50-59","AA/AO","40","30","[c]","[c]"
"Leaver CS","2021","West Lothian","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","60-64","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Lothian","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","50-59","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","50-59","EO","30","30","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Northamptonshire","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","20-29","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","West Surrey","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","20-29","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Surrey","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","50-59","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (North East)","65+","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Sussex (South West)","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","16-19","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","20-29","AA/AO","260","250","22240","22680"
"Leaver CS","2021","Westminster","20-29","EO","220","200","25760","26960"
"Leaver CS","2021","Westminster","20-29","G6/G7","60","50","[c]","[c]"
"Leaver CS","2021","Westminster","20-29","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","20-29","SEO/HEO","320","290","34250","33620"
"Leaver CS","2021","Westminster","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","30-39","EO","50","40","[c]","[c]"
"Leaver CS","2021","Westminster","30-39","G6/G7","240","230","57030","54700"
"Leaver CS","2021","Westminster","30-39","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","30-39","SEO/HEO","180","170","37890","38470"
"Leaver CS","2021","Westminster","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","40-49","G6/G7","140","120","61540","60000"
"Leaver CS","2021","Westminster","40-49","SCS","60","60","93540","89890"
"Leaver CS","2021","Westminster","40-49","SEO/HEO","70","60","37310","36800"
"Leaver CS","2021","Westminster","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","50-59","EO","40","30","[c]","[c]"
"Leaver CS","2021","Westminster","50-59","G6/G7","150","130","63670","61860"
"Leaver CS","2021","Westminster","50-59","SCS","60","50","108370","99950"
"Leaver CS","2021","Westminster","50-59","SEO/HEO","80","70","39420","38980"
"Leaver CS","2021","Westminster","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","60-64","G6/G7","100","80","66850","65500"
"Leaver CS","2021","Westminster","60-64","SCS","40","30","[c]","[c]"
"Leaver CS","2021","Westminster","60-64","SEO/HEO","80","70","41870","41950"
"Leaver CS","2021","Westminster","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","65+","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Westminster","65+","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","65+","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Westminster","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Westminster","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","20-29","AA/AO","70","70","18740","18850"
"Leaver CS","2021","Wiltshire","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","30-39","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","30-39","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Wiltshire","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","40-49","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","50-59","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","50-59","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wiltshire","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wirral","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wolverhampton","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","20-29","AA/AO","50","50","[c]","[c]"
"Leaver CS","2021","Worcestershire","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Worcestershire","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","60-64","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","60-64","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","60-64","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","65+","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","65+","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","York","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","20-29","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","20-29","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","30-39","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","30-39","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Aberdeen City and Aberdeenshire","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
