"Status","Year","Profession_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Intelligence Analysis","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","White","Heterosexual / straight","80","70","31960","29250"
"Leaver CS","2022","Intelligence Analysis","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","White","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2022","Internal Audit","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","International Trade","White","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2022","International Trade","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Asian","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","Unknown","30","20","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","White","Heterosexual / straight","220","200","35060","30000"
"Leaver CS","2022","Knowledge and Information Management","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","White","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","White","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Legal","Asian","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Legal","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Legal","White","Heterosexual / straight","260","230","55100","55000"
"Leaver CS","2022","Legal","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","White","Unknown","50","40","62470","57400"
"Leaver CS","2022","Medicine","Asian","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Medicine","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","Unknown","60","50","42210","34770"
"Leaver CS","2022","Medicine","White","Heterosexual / straight","250","210","57300","40060"
"Leaver CS","2022","Medicine","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Asian","Heterosexual / straight","930","860","28180","27570"
"Leaver CS","2022","Operational Delivery","Asian","LGBO","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Asian","Undeclared","70","60","28400","26880"
"Leaver CS","2022","Operational Delivery","Asian","Unknown","70","50","27720","25460"
"Leaver CS","2022","Operational Delivery","Black","Heterosexual / straight","720","670","29380","28170"
"Leaver CS","2022","Operational Delivery","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Black","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Black","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Mixed","Heterosexual / straight","370","340","28030","27570"
"Leaver CS","2022","Operational Delivery","Mixed","LGBO","50","50","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Mixed","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Other ethnicity","Heterosexual / straight","90","90","30340","27570"
"Leaver CS","2022","Operational Delivery","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Undeclared","Heterosexual / straight","140","130","28750","26580"
"Leaver CS","2022","Operational Delivery","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Undeclared","Undeclared","420","370","29530","27370"
"Leaver CS","2022","Operational Delivery","Undeclared","Unknown","180","150","29900","25620"
"Leaver CS","2022","Operational Delivery","Unknown","Heterosexual / straight","130","120","28840","24900"
"Leaver CS","2022","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","Undeclared","100","50","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","Unknown","3810","3560","27520","23720"
"Leaver CS","2022","Operational Delivery","White","Heterosexual / straight","11160","9880","28340","26820"
"Leaver CS","2022","Operational Delivery","White","LGBO","960","920","27030","26720"
"Leaver CS","2022","Operational Delivery","White","Undeclared","1020","840","28720","26780"
"Leaver CS","2022","Operational Delivery","White","Unknown","1120","850","29340","26900"
"Leaver CS","2022","Operational Research","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Asian","Heterosexual / straight","90","90","29830","27350"
"Leaver CS","2022","Other","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Black","Heterosexual / straight","80","70","30900","31060"
"Leaver CS","2022","Other","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Mixed","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2022","Other","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Undeclared","Undeclared","90","80","27590","22330"
"Leaver CS","2022","Other","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","Unknown","550","530","32150","30170"
"Leaver CS","2022","Other","White","Heterosexual / straight","1560","1440","28010","22330"
"Leaver CS","2022","Other","White","LGBO","80","80","28330","24650"
"Leaver CS","2022","Other","White","Undeclared","150","130","28160","22270"
"Leaver CS","2022","Other","White","Unknown","120","110","36460","27570"
"Leaver CS","2022","Planning","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Asian","Heterosexual / straight","110","100","42260","39550"
"Leaver CS","2022","Policy","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Black","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2022","Policy","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2022","Policy","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Undeclared","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Policy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","Undeclared","130","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","Unknown","260","250","39510","35120"
"Leaver CS","2022","Policy","White","Heterosexual / straight","720","640","48290","45870"
"Leaver CS","2022","Policy","White","LGBO","80","80","43320","37380"
"Leaver CS","2022","Policy","White","Undeclared","60","60","[c]","[c]"
"Leaver CS","2022","Policy","White","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Unknown","80","80","38640","38470"
"Leaver CS","2022","Project Delivery","White","Heterosexual / straight","450","420","41820","38070"
"Leaver CS","2022","Project Delivery","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","White","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","White","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Property","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Unknown","60","60","29830","25020"
"Leaver CS","2022","Property","White","Heterosexual / straight","260","240","35480","33300"
"Leaver CS","2022","Property","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","White","Heterosexual / straight","60","50","[c]","[c]"
"Leaver CS","2022","Psychology","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Asian","Heterosexual / straight","60","60","34100","32640"
"Leaver CS","2022","Science and Engineering","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Black","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Undeclared","LGBO","[c]","[c]","[c]","[c]"
