"Status","Year","Ethnicity","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","White","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Welsh Government","Unknown","130","110","43410","37410"
"Leaver CS","2022","Asian","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Legal","50","50","38480","34480"
"Leaver CS","2022","Asian","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","No function","30","30","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","No function","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","No function","450","420","27390","27570"
"Leaver CS","2022","Asian","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions","Unknown","80","70","26970","27570"
"Leaver CS","2022","Asian","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","No function","250","230","41680","33090"
"Leaver CS","2022","Asian","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Estyn","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs","Unknown","280","240","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","No function","30","30","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Home Office","Unknown","180","150","30900","28650"
"Leaver CS","2022","Asian","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","No function","340","310","27530","23720"
"Leaver CS","2022","Asian","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Scotland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
