"Status","Year","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Heterosexual / straight","Unknown","14590","14300","27500","27570"
"New entrant CS","2021","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data and Technology","90","90","37110","34830"
"New entrant CS","2021","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","50","40","[c]","[c]"
"New entrant CS","2021","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Operational Delivery","840","820","25200","22920"
"New entrant CS","2021","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Other","90","80","26940","25690"
"New entrant CS","2021","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Policy","270","270","35630","33210"
"New entrant CS","2021","LGBO","Project Delivery","70","70","34490","33000"
"New entrant CS","2021","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Science and Engineering","90","90","28110","26880"
"New entrant CS","2021","LGBO","Security","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Statistics","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Tax","100","100","22650","20140"
"New entrant CS","2021","LGBO","Unknown","1560","1540","27130","27570"
"New entrant CS","2021","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data and Technology","100","100","41420","37610"
"New entrant CS","2021","Undeclared","Economics","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","50","50","[c]","[c]"
"New entrant CS","2021","Undeclared","Medicine","30","20","[c]","[c]"
"New entrant CS","2021","Undeclared","Operational Delivery","730","680","27910","24020"
"New entrant CS","2021","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Other","90","90","29800","23450"
"New entrant CS","2021","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Policy","220","220","36710","33570"
"New entrant CS","2021","Undeclared","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Science and Engineering","100","90","31890","31370"
"New entrant CS","2021","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Tax","50","50","25030","20140"
"New entrant CS","2021","Undeclared","Unknown","900","890","28360","27570"
"New entrant CS","2021","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","160","150","39790","37420"
"New entrant CS","2021","Unknown","Communications","190","190","36350","30850"
"New entrant CS","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data and Technology","750","740","40490","36800"
"New entrant CS","2021","Unknown","Economics","150","150","31200","32390"
"New entrant CS","2021","Unknown","Finance","220","210","34810","32790"
"New entrant CS","2021","Unknown","Human Resources","180","170","34130","30740"
"New entrant CS","2021","Unknown","Intelligence Analysis","90","90","42040","36820"
"New entrant CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","International Trade","50","50","29980","31800"
"New entrant CS","2021","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","220","210","38410","30850"
"New entrant CS","2021","Unknown","Medicine","100","80","48370","37890"
"New entrant CS","2021","Unknown","Operational Delivery","5950","5740","24080","22350"
"New entrant CS","2021","Unknown","Operational Research","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Other","470","460","30210","27450"
"New entrant CS","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","1140","1120","38790","33570"
"New entrant CS","2021","Unknown","Project Delivery","290","290","37810","35050"
"New entrant CS","2021","Unknown","Property","120","120","34100","28500"
"New entrant CS","2021","Unknown","Psychology","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","230","230","29230","25190"
"New entrant CS","2021","Unknown","Security","260","260","29020","25540"
"New entrant CS","2021","Unknown","Social Research","50","50","35200","32540"
"New entrant CS","2021","Unknown","Statistics","100","100","32150","30480"
"New entrant CS","2021","Unknown","Tax","2150","2100","22280","20140"
"New entrant CS","2021","Unknown","Unknown","4410","4310","32840","28000"
"New entrant CS","2021","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","490","480","32250","30420"
"New entrant CS","2022","Heterosexual / straight","Communications","300","290","36760","33100"
"New entrant CS","2022","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","580","560","26310","27570"
"New entrant CS","2022","Heterosexual / straight","Digital, Data and Technology","1620","1600","38290","35900"
"New entrant CS","2022","Heterosexual / straight","Economics","250","240","34610","31000"
"New entrant CS","2022","Heterosexual / straight","Finance","730","710","34900","32970"
"New entrant CS","2022","Heterosexual / straight","Geography","50","50","27530","20420"
"New entrant CS","2022","Heterosexual / straight","Human Resources","710","690","33180","30200"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","150","150","58610","51360"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","100","100","29630","28700"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","50","50","39820","39200"
"New entrant CS","2022","Heterosexual / straight","International Trade","110","110","37410","31800"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","160","150","31010","29090"
"New entrant CS","2022","Heterosexual / straight","Legal","690","670","43680","43920"
"New entrant CS","2022","Heterosexual / straight","Medicine","200","170","52860","40070"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","21150","20350","26420","24430"
"New entrant CS","2022","Heterosexual / straight","Operational Research","60","60","32580","31000"
"New entrant CS","2022","Heterosexual / straight","Other","1660","1620","27540","23470"
"New entrant CS","2022","Heterosexual / straight","Planning","50","50","42600","41980"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","2470","2430","36610","33570"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","750","740","37750","34710"
"New entrant CS","2022","Heterosexual / straight","Property","450","440","35990","33000"
"New entrant CS","2022","Heterosexual / straight","Psychology","120","120","26970","27700"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","1020","980","33520","31000"
"New entrant CS","2022","Heterosexual / straight","Security","360","350","28970","25000"
"New entrant CS","2022","Heterosexual / straight","Social Research","200","190","34870","31210"
"New entrant CS","2022","Heterosexual / straight","Statistics","230","220","33090","30710"
"New entrant CS","2022","Heterosexual / straight","Tax","1460","1440","27670","26590"
"New entrant CS","2022","Heterosexual / straight","Unknown","3340","3270","32190","27570"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","170","170","36000","33080"
"New entrant CS","2022","LGBO","Economics","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","60","60","36170","31570"
"New entrant CS","2022","LGBO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","80","80","33560","27840"
"New entrant CS","2022","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Delivery","2150","2100","25780","23170"
"New entrant CS","2022","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","160","160","26900","23450"
"New entrant CS","2022","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","370","360","35330","33210"
"New entrant CS","2022","LGBO","Project Delivery","70","70","34960","33160"
"New entrant CS","2022","LGBO","Property","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","100","100","29330","27540"
"New entrant CS","2022","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","180","180","27010","26590"
"New entrant CS","2022","LGBO","Unknown","450","450","31070","27500"
"New entrant CS","2022","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","100","50","34760","33000"
"New entrant CS","2022","Undeclared","Communications","110","70","36320","30590"
"New entrant CS","2022","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","230","200","36660","33080"
"New entrant CS","2022","Undeclared","Economics","30","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","140","90","35770","30690"
"New entrant CS","2022","Undeclared","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","90","70","28780","27270"
"New entrant CS","2022","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Operational Delivery","1410","1320","28090","25860"
"New entrant CS","2022","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","100","100","29800","26950"
"New entrant CS","2022","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","320","290","35990","33210"
"New entrant CS","2022","Undeclared","Project Delivery","60","60","36870","34510"
"New entrant CS","2022","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","130","120","33420","30000"
"New entrant CS","2022","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Tax","80","80","27310","26590"
"New entrant CS","2022","Undeclared","Unknown","310","270","33470","29290"
"New entrant CS","2022","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","170","160","33080","28650"
"New entrant CS","2022","Unknown","Communications","140","140","35450","34260"
"New entrant CS","2022","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","60","60","26370","27570"
"New entrant CS","2022","Unknown","Digital, Data and Technology","770","760","38930","35050"
"New entrant CS","2022","Unknown","Economics","90","90","32570","32390"
"New entrant CS","2022","Unknown","Finance","280","270","35350","33000"
"New entrant CS","2022","Unknown","Geography","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","260","250","35790","29180"
"New entrant CS","2022","Unknown","Intelligence Analysis","90","90","29320","28700"
"New entrant CS","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","International Trade","70","70","[c]","[c]"
"New entrant CS","2022","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","170","160","36480","34260"
"New entrant CS","2022","Unknown","Medicine","120","90","45900","39030"
"New entrant CS","2022","Unknown","Operational Delivery","12120","11460","25870","23720"
"New entrant CS","2022","Unknown","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Other","710","690","25880","21640"
"New entrant CS","2022","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Policy","750","740","36980","34000"
"New entrant CS","2022","Unknown","Project Delivery","360","350","36750","35050"
"New entrant CS","2022","Unknown","Property","260","260","32290","27650"
"New entrant CS","2022","Unknown","Psychology","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Science and Engineering","440","440","29100","26360"
"New entrant CS","2022","Unknown","Security","270","270","27250","25000"
"New entrant CS","2022","Unknown","Social Research","50","50","33960","33650"
"New entrant CS","2022","Unknown","Statistics","90","80","28170","26350"
"New entrant CS","2022","Unknown","Tax","820","800","26940","26590"
"New entrant CS","2022","Unknown","Unknown","3980","3860","33090","28000"
"New entrant CS","2022","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
