"Status","Year","Disability","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Operational Delivery","1130","1070","28950","24250"
"Leaver CS","2021","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Other","320","320","32700","29930"
"Leaver CS","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Policy","150","150","43950","38750"
"Leaver CS","2021","Unknown","Male","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Property","70","60","27870","25500"
"Leaver CS","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Science and Engineering","90","90","33460","28540"
"Leaver CS","2021","Unknown","Male","Security","100","100","28240","24610"
"Leaver CS","2021","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","1390","1220","34880","27570"
"Leaver CS","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","60","60","44710","40010"
"Leaver CS","2022","Declared disabled","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Operational Delivery","1490","1250","26740","26400"
"Leaver CS","2022","Declared disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Other","150","120","26020","22100"
"Leaver CS","2022","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Policy","80","70","38990","34680"
"Leaver CS","2022","Declared disabled","Female","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Unknown","440","350","31280","27570"
"Leaver CS","2022","Declared disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Digital, Data and Technology","70","60","37920","34290"
"Leaver CS","2022","Declared disabled","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Finance","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Operational Delivery","960","860","27050","26100"
"Leaver CS","2022","Declared disabled","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Other","140","130","26570","23130"
"Leaver CS","2022","Declared disabled","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Project Delivery","50","50","41010","40090"
"Leaver CS","2022","Declared disabled","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Science and Engineering","70","70","38680","36330"
"Leaver CS","2022","Declared disabled","Male","Security","50","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Male","Unknown","330","280","33120","27570"
"Leaver CS","2022","Declared disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Commercial","110","90","36880","34370"
"Leaver CS","2022","Declared non-disabled","Female","Communications","120","110","40130","37740"
"Leaver CS","2022","Declared non-disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Counter Fraud","110","80","27750","27570"
"Leaver CS","2022","Declared non-disabled","Female","Digital, Data and Technology","240","220","41070","38070"
"Leaver CS","2022","Declared non-disabled","Female","Economics","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Finance","200","180","35940","33000"
"Leaver CS","2022","Declared non-disabled","Female","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Human Resources","260","230","38050","33350"
"Leaver CS","2022","Declared non-disabled","Female","Inspector of Education and Training","70","70","64590","72990"
"Leaver CS","2022","Declared non-disabled","Female","Intelligence Analysis","40","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Knowledge and Information Management","200","180","33890","29270"
"Leaver CS","2022","Declared non-disabled","Female","Legal","190","160","56430","55020"
"Leaver CS","2022","Declared non-disabled","Female","Medicine","170","150","54940","39030"
"Leaver CS","2022","Declared non-disabled","Female","Operational Delivery","7740","6640","27790","26520"
"Leaver CS","2022","Declared non-disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Other","870","780","27640","22330"
"Leaver CS","2022","Declared non-disabled","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Policy","460","410","44700","40050"
"Leaver CS","2022","Declared non-disabled","Female","Project Delivery","220","210","40740","37890"
"Leaver CS","2022","Declared non-disabled","Female","Property","100","90","34750","33250"
"Leaver CS","2022","Declared non-disabled","Female","Psychology","60","50","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Science and Engineering","450","410","37860","37450"
"Leaver CS","2022","Declared non-disabled","Female","Security","90","80","29240","26670"
"Leaver CS","2022","Declared non-disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","Unknown","2380","1940","34960","27570"
"Leaver CS","2022","Declared non-disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Commercial","110","110","40550","38020"
"Leaver CS","2022","Declared non-disabled","Male","Communications","80","70","39250","36980"
"Leaver CS","2022","Declared non-disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Counter Fraud","90","80","30540","27570"
"Leaver CS","2022","Declared non-disabled","Male","Digital, Data and Technology","530","520","43060","40000"
"Leaver CS","2022","Declared non-disabled","Male","Economics","70","70","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Finance","210","200","43820","40060"
"Leaver CS","2022","Declared non-disabled","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Human Resources","110","110","40700","35840"
"Leaver CS","2022","Declared non-disabled","Male","Inspector of Education and Training","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Intelligence Analysis","60","60","32030","29250"
"Leaver CS","2022","Declared non-disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","International Trade","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Knowledge and Information Management","90","90","38300","36330"
"Leaver CS","2022","Declared non-disabled","Male","Legal","140","130","58520","55610"
"Leaver CS","2022","Declared non-disabled","Male","Medicine","80","70","68140","70530"
"Leaver CS","2022","Declared non-disabled","Male","Operational Delivery","5720","5300","29140","27370"
"Leaver CS","2022","Declared non-disabled","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Other","820","790","30300","26350"
"Leaver CS","2022","Declared non-disabled","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Policy","420","400","51840","51730"
"Leaver CS","2022","Declared non-disabled","Male","Project Delivery","290","280","42210","39600"
"Leaver CS","2022","Declared non-disabled","Male","Property","170","150","39240","35480"
"Leaver CS","2022","Declared non-disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Science and Engineering","610","580","36990","33930"
"Leaver CS","2022","Declared non-disabled","Male","Security","320","300","32720","28890"
"Leaver CS","2022","Declared non-disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Statistics","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Male","Unknown","1870","1650","41260","33110"
"Leaver CS","2022","Declared non-disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Operational Delivery","530","440","27700","25490"
"Leaver CS","2022","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Other","70","60","26320","21980"
"Leaver CS","2022","Undeclared","Female","Policy","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Unknown","200","160","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Digital, Data and Technology","60","60","40470","38450"
"Leaver CS","2022","Undeclared","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Operational Delivery","610","540","28820","26880"
"Leaver CS","2022","Undeclared","Male","Other","80","80","28090","24250"
"Leaver CS","2022","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Policy","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Science and Engineering","50","50","35750","34980"
"Leaver CS","2022","Undeclared","Male","Security","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Unknown","200","180","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Commercial","70","30","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Communications","90","60","37900","33030"
"Leaver CS","2022","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Digital, Data and Technology","120","100","38010","34530"
"Leaver CS","2022","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Finance","80","50","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Human Resources","90","70","31550","27140"
"Leaver CS","2022","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Knowledge and Information Management","70","60","35330","29250"
"Leaver CS","2022","Unknown","Female","Legal","70","70","51950","53050"
"Leaver CS","2022","Unknown","Female","Medicine","110","90","53610","39030"
"Leaver CS","2022","Unknown","Female","Operational Delivery","2370","2150","28810","23720"
"Leaver CS","2022","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Other","260","240","30420","27400"
"Leaver CS","2022","Unknown","Female","Policy","280","200","39480","34540"
"Leaver CS","2022","Unknown","Female","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Property","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Science and Engineering","80","70","41540","40060"
"Leaver CS","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","1730","1450","34230","27570"
"Leaver CS","2022","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Commercial","80","50","39220","35340"
"Leaver CS","2022","Unknown","Male","Communications","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Digital, Data and Technology","300","280","41750","38400"
"Leaver CS","2022","Unknown","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Finance","80","60","37840","33410"
"Leaver CS","2022","Unknown","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Knowledge and Information Management","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Legal","60","50","52190","55000"
"Leaver CS","2022","Unknown","Male","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Operational Delivery","2150","2030","30190","26130"
"Leaver CS","2022","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Other","500","490","33380","30480"
"Leaver CS","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Policy","240","160","41840","38600"
"Leaver CS","2022","Unknown","Male","Project Delivery","70","70","43700","40000"
"Leaver CS","2022","Unknown","Male","Property","70","60","30640","25860"
"Leaver CS","2022","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Science and Engineering","130","120","38450","32690"
"Leaver CS","2022","Unknown","Male","Security","160","160","30870","27680"
"Leaver CS","2022","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","1500","1340","38620","29250"
"Leaver CS","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Operational Delivery","90","80","29190","25170"
"Leaver Dept.","2021","Declared disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Policy","70","70","42760","37640"
"Leaver Dept.","2021","Declared disabled","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Female","Unknown","250","230","34210","31990"
"Leaver Dept.","2021","Declared disabled","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Male","Legal","[c]","[c]","[c]","[c]"
