"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Human Resources","Human Resources","Department for Transport","30","30","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Department for Work and Pensions","50","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Department of Health and Social Care","240","190","42510","36330"
"Leaver Dept.","2022","Human Resources","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Ministry of Defence","60","60","34390","32000"
"Leaver Dept.","2022","Human Resources","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Unknown","Home Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Security","Ministry of Defence","30","30","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Unknown","Home Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","No function","Department for International Trade","100","90","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Department of Health and Social Care","220","200","46340","48860"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Attorney General's Departments","80","80","60670","61000"
"Leaver Dept.","2022","Legal","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","No function","Department of Health and Social Care","390","330","90420","95140"
"Leaver Dept.","2022","Medicine","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Grants Management","Department for Environment, Food and Rural Affairs","60","60","24620","21300"
"Leaver Dept.","2022","Operational Delivery","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Human Resources","Department for Work and Pensions","50","50","27170","27570"
"Leaver Dept.","2022","Operational Delivery","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Legal","Attorney General's Departments","60","60","25450","24590"
"Leaver Dept.","2022","Operational Delivery","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Business, Energy and Industrial Strategy","150","140","30100","24250"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Education","50","50","36370","32620"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Levelling Up, Housing and Communities","60","60","36580","33210"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Transport","190","180","25930","23940"
"Leaver Dept.","2022","Operational Delivery","No function","Department for Work and Pensions","2060","2000","28000","27570"
"Leaver Dept.","2022","Operational Delivery","No function","Department of Health and Social Care","3160","2820","38550","32330"
"Leaver Dept.","2022","Operational Delivery","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Ministry of Justice","1550","1510","31470","26410"
"Leaver Dept.","2022","Operational Delivery","No function","National Crime Agency","60","60","41610","37560"
"Leaver Dept.","2022","Operational Delivery","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","Scottish Government","40","40","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","No function","UK Statistics Authority","70","60","28600","23630"
"Leaver Dept.","2022","Operational Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Unknown","Home Office","720","690","27990","25040"
"Leaver Dept.","2022","Operational Delivery","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Debt","Department for Work and Pensions","60","50","23190","21260"
"Leaver Dept.","2022","Other","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Legal","Attorney General's Departments","40","40","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Department for Work and Pensions","220","210","30060","27570"
"Leaver Dept.","2022","Other","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Ministry of Defence","30","30","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","No function","Office of Gas and Electricity Markets","70","70","35230","26830"
"Leaver Dept.","2022","Other","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Project Delivery","Ministry of Defence","50","50","[c]","[c]"
"Leaver Dept.","2022","Other","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","Home Office","110","110","38800","35070"
"Leaver Dept.","2022","Other","Unknown","Ministry of Defence","110","110","24750","21480"
"Leaver Dept.","2022","Other","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Department for Business, Energy and Industrial Strategy","420","400","45430","40050"
"Leaver Dept.","2022","Policy","No function","Department for Digital, Culture, Media and Sport","150","150","44810","35480"
"Leaver Dept.","2022","Policy","No function","Department for Education","210","200","44400","40230"
"Leaver Dept.","2022","Policy","No function","Department for Environment, Food and Rural Affairs","290","290","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Department for Levelling Up, Housing and Communities","170","170","42090","36340"
"Leaver Dept.","2022","Policy","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Department of Health and Social Care","440","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","HM Treasury","140","130","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","No function","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Unknown","Department for Work and Pensions","30","30","[c]","[c]"
"Leaver Dept.","2022","Policy","Unknown","Home Office","250","240","47690","41970"
"Leaver Dept.","2022","Policy","Unknown","Ministry of Defence","60","60","45740","44500"
"Leaver Dept.","2022","Policy","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Ministry of Defence","40","30","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
