"Status","Year","Age","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","65+","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Operational Delivery","40","30","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Unknown","60","40","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Finance","40","40","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Operational Delivery","210","160","38010","36300"
"Leaver CS","2022","65+","SEO/HEO","Other","80","70","37660","36460"
"Leaver CS","2022","65+","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Property","40","30","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Science and Engineering","60","40","37840","38250"
"Leaver CS","2022","65+","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Unknown","180","120","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Operational Delivery","150","120","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","EO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Operational Delivery","330","320","20790","21010"
"Leaver Dept.","2021","20-29","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Unknown","460","440","21430","21010"
"Leaver Dept.","2021","20-29","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Operational Delivery","160","160","25770","25100"
"Leaver Dept.","2021","20-29","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Other","50","40","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Policy","140","140","27650","27420"
"Leaver Dept.","2021","20-29","EO","Project Delivery","40","30","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Unknown","450","410","27900","27570"
"Leaver Dept.","2021","20-29","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Policy","110","110","53440","52850"
"Leaver Dept.","2021","20-29","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Unknown","120","100","54700","54700"
"Leaver Dept.","2021","20-29","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Communications","50","50","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Economics","60","60","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Human Resources","60","60","33050","32830"
"Leaver Dept.","2021","20-29","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","International Trade","40","40","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Operational Delivery","150","150","33690","32560"
"Leaver Dept.","2021","20-29","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Policy","460","450","35260","33620"
"Leaver Dept.","2021","20-29","SEO/HEO","Project Delivery","80","80","31660","32190"
"Leaver Dept.","2021","20-29","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Statistics","30","30","[c]","[c]"
"Leaver Dept.","2021","20-29","SEO/HEO","Unknown","930","820","33070","32000"
"Leaver Dept.","2021","20-29","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Operational Delivery","220","210","20780","20700"
"Leaver Dept.","2021","30-39","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Unknown","350","320","21210","21010"
"Leaver Dept.","2021","30-39","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Operational Delivery","170","170","25250","24890"
"Leaver Dept.","2021","30-39","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","EO","Unknown","360","330","27650","27570"
"Leaver Dept.","2021","30-39","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Economics","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Policy","290","280","55910","53870"
"Leaver Dept.","2021","30-39","G6/G7","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","G6/G7","Unknown","350","290","57490","55650"
"Leaver Dept.","2021","30-39","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Commercial","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Communications","50","50","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Finance","40","30","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Operational Delivery","140","140","33730","32430"
"Leaver Dept.","2021","30-39","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Policy","240","230","36770","36670"
"Leaver Dept.","2021","30-39","SEO/HEO","Project Delivery","60","60","36440","36620"
"Leaver Dept.","2021","30-39","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Unknown","510","450","35010","33960"
"Leaver Dept.","2021","30-39","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Operational Delivery","140","130","21030","21010"
"Leaver Dept.","2021","40-49","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Unknown","190","170","21210","21010"
"Leaver Dept.","2021","40-49","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Operational Delivery","90","80","25660","25100"
"Leaver Dept.","2021","40-49","EO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","EO","Unknown","280","260","27560","27570"
"Leaver Dept.","2021","40-49","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Policy","110","100","58470","57160"
"Leaver Dept.","2021","40-49","G6/G7","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Unknown","190","160","58430","57400"
"Leaver Dept.","2021","40-49","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Policy","60","50","85730","78610"
"Leaver Dept.","2021","40-49","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS","Security","[c]","[c]","[c]","[c]"
